Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy DtoH [sync]",1085901862,1392858,,,,,,,,,,4151404,2980493345
"Memcpy HtoD [sync]",1089399206,753069,,,,,,,,,,2078756,2760379195
"Memcpy HtoD [sync]",1090642044,4153099,,,,,,,,,,8327276,2005075246
"matrixMulKernel(matrix, matrix, matrix)",1094927754,37135167,62,18,1,33,29,1,21,0,0,,
"Memcpy DtoH [sync]",1132110474,2232553,,,,,,,,,,4151404,1859487322
"Memcpy HtoD [sync]",1136127923,548522,,,,,,,,,,2078756,3789740429
"Memcpy HtoD [sync]",1137131941,3756484,,,,,,,,,,8327276,2216773983
"matrixMulKernel(matrix, matrix, matrix)",1141107693,32229351,66,25,1,31,21,1,21,0,0,,
"Memcpy DtoH [sync]",1173386773,1927747,,,,,,,,,,4151404,2153500433
"Memcpy HtoD [sync]",1177112152,714797,,,,,,,,,,2078756,2908176727
"Memcpy HtoD [sync]",1178286605,2834932,,,,,,,,,,8327276,2937381214
"matrixMulKernel(matrix, matrix, matrix)",1181483143,30010207,128,12,1,16,44,1,21,0,0,,
"Memcpy DtoH [sync]",1211543175,1369785,,,,,,,,,,4151404,3030697518
"Memcpy HtoD [sync]",1215703666,733549,,,,,,,,,,2078756,2833833867
"Memcpy HtoD [sync]",1216921864,3932039,,,,,,,,,,8327276,2117800967
"matrixMulKernel(matrix, matrix, matrix)",1221159733,37461605,157,24,1,13,22,1,21,0,0,,
"Memcpy DtoH [sync]",1258834206,1930243,,,,,,,,,,4151404,2150715738
"Memcpy HtoD [sync]",1262605186,682413,,,,,,,,,,2078756,3046184641
"Memcpy HtoD [sync]",1263755607,3121401,,,,,,,,,,8327276,2667800772
"matrixMulKernel(matrix, matrix, matrix)",1267185493,33955174,66,19,1,31,27,1,21,0,0,,
"Memcpy DtoH [sync]",1301189372,1782529,,,,,,,,,,4151404,2328940510
"Memcpy HtoD [sync]",1305098947,729101,,,,,,,,,,2078756,2851122135
"Memcpy HtoD [sync]",1306589790,3453982,,,,,,,,,,8327276,2410920496
"matrixMulKernel(matrix, matrix, matrix)",1310240512,45386133,186,57,1,11,9,1,21,0,0,,
"Memcpy DtoH [sync]",1355670742,1395929,,,,,,,,,,4151404,2973936353
"Memcpy HtoD [sync]",1360463148,757038,,,,,,,,,,2078756,2745907074
"Memcpy HtoD [sync]",1362063177,3707747,,,,,,,,,,8327276,2245912679
"matrixMulKernel(matrix, matrix, matrix)",1365982448,46950385,255,73,1,8,7,1,21,0,0,,
"Memcpy DtoH [sync]",1412974178,1390489,,,,,,,,,,4151404,2985571263
"Memcpy HtoD [sync]",1417758969,804526,,,,,,,,,,2078756,2583826998
"Memcpy HtoD [sync]",1419063888,3961672,,,,,,,,,,8327276,2101959980
"matrixMulKernel(matrix, matrix, matrix)",1423213627,33916070,102,85,1,20,6,1,21,0,0,,
"Memcpy DtoH [sync]",1457217634,1912739,,,,,,,,,,4151404,2170397529
"Memcpy HtoD [sync]",1460942630,507913,,,,,,,,,,2078756,4092740292
"Memcpy HtoD [sync]",1461898551,3746404,,,,,,,,,,8327276,2222738391
"matrixMulKernel(matrix, matrix, matrix)",1465856415,38159634,36,509,1,57,1,1,21,0,0,,
"Memcpy DtoH [sync]",1504055666,1390137,,,,,,,,,,4151404,2986327246
"Memcpy HtoD [sync]",1508307711,757325,,,,,,,,,,2078756,2744866470
"Memcpy HtoD [sync]",1509555285,3918631,,,,,,,,,,8327276,2125047242
"matrixMulKernel(matrix, matrix, matrix)",1513683840,71937909,510,15,1,4,34,1,21,0,0,,
"Memcpy DtoH [sync]",1585666262,1393593,,,,,,,,,,4151404,2978921392
"Memcpy HtoD [sync]",1589052723,538154,,,,,,,,,,2078756,3862753040
"Memcpy HtoD [sync]",1590111622,2790803,,,,,,,,,,8327276,2983827952
"matrixMulKernel(matrix, matrix, matrix)",1593642598,97108284,680,15,1,3,36,1,21,0,0,,
"Memcpy DtoH [sync]",1690910533,1752960,,,,,,,,,,4151404,2368225173
"Memcpy HtoD [sync]",1694795180,472936,,,,,,,,,,2078756,4395427711
"Memcpy HtoD [sync]",1695788574,3608769,,,,,,,,,,8327276,2307511508
"matrixMulKernel(matrix, matrix, matrix)",1699619235,37425733,146,18,1,14,29,1,21,0,0,,
"Memcpy DtoH [sync]",1737087528,1689983,,,,,,,,,,4151404,2456476781
"Memcpy HtoD [sync]",1741095921,700109,,,,,,,,,,2078756,2969189083
"Memcpy HtoD [sync]",1742280518,3986793,,,,,,,,,,8327276,2088715416
"matrixMulKernel(matrix, matrix, matrix)",1746555348,40717504,255,8,1,8,64,1,21,0,0,,
"Memcpy DtoH [sync]",1787372694,1339960,,,,,,,,,,4151404,3098155168
"Memcpy HtoD [sync]",1790836245,518601,,,,,,,,,,2078756,4008391807
"Memcpy HtoD [sync]",1791723557,2531565,,,,,,,,,,8327276,3289378704
