Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Global Memory Load Efficiency(%),Achieved Occupancy,Global Memory Store Efficiency(%)
"matrixMulKernel(matrix, matrix, matrix)",5406128862,95694696,64,23,1,32,23,1,21,0,0,136.009,0.847,82.002
"matrixMulKernel(matrix, matrix, matrix)",5504453567,94722115,64,22,1,32,24,1,21,0,0,136.009,0.93,82.002
"matrixMulKernel(matrix, matrix, matrix)",5601784252,99041102,64,34,1,32,15,1,21,0,0,136.009,0.851,82.002
"matrixMulKernel(matrix, matrix, matrix)",5703472099,99369797,64,26,1,32,20,1,21,0,0,136.009,0.808,82.002
"matrixMulKernel(matrix, matrix, matrix)",5805444674,97293757,64,29,1,32,18,1,21,0,0,136.009,0.828,82.002
"matrixMulKernel(matrix, matrix, matrix)",5905376376,99361318,64,26,1,32,20,1,21,0,0,136.009,0.869,82.002
"matrixMulKernel(matrix, matrix, matrix)",6007339191,97500984,64,73,1,32,7,1,21,0,0,136.009,0.859,82.002
"matrixMulKernel(matrix, matrix, matrix)",6107447945,94675812,64,21,1,32,25,1,21,0,0,136.009,0.808,82.002
"matrixMulKernel(matrix, matrix, matrix)",6204705671,92602140,64,40,1,32,13,1,21,0,0,136.009,0.849,82.002
"matrixMulKernel(matrix, matrix, matrix)",6299890237,101844707,64,18,1,32,29,1,21,0,0,136.009,0.747,82.002
"matrixMulKernel(matrix, matrix, matrix)",6404303579,96451252,64,47,1,32,11,1,21,0,0,136.009,0.799,82.002
"matrixMulKernel(matrix, matrix, matrix)",6503363144,92370947,64,40,1,32,13,1,21,0,0,136.009,0.925,82.002
"matrixMulKernel(matrix, matrix, matrix)",6598311621,93290218,64,30,1,32,17,1,21,0,0,136.009,0.928,82.002
"matrixMulKernel(matrix, matrix, matrix)",6694166121,94913438,64,22,1,32,24,1,21,0,0,136.009,0.868,82.002
"matrixMulKernel(matrix, matrix, matrix)",6791656994,97594101,64,64,1,32,8,1,21,0,0,136.009,0.928,82.002
"matrixMulKernel(matrix, matrix, matrix)",6891924751,98564507,64,24,1,32,22,1,21,0,0,136.009,0.925,82.002
"matrixMulKernel(matrix, matrix, matrix)",6993096643,97894894,64,57,1,32,9,1,21,0,0,136.009,0.933,82.002
"matrixMulKernel(matrix, matrix, matrix)",7093762758,100409353,64,128,1,32,4,1,21,0,0,136.009,0.965,82.002
"matrixMulKernel(matrix, matrix, matrix)",7196828135,93336777,64,30,1,32,17,1,21,0,0,136.009,0.931,82.002
"matrixMulKernel(matrix, matrix, matrix)",7292793193,98148070,64,19,1,32,27,1,21,0,0,136.009,0.847,82.002
"matrixMulKernel(matrix, matrix, matrix)",7393541385,99116396,64,34,1,32,15,1,21,0,0,136.009,0.993,82.002
"matrixMulKernel(matrix, matrix, matrix)",7495248495,99475043,64,17,1,32,30,1,21,0,0,136.009,0.859,82.002
"matrixMulKernel(matrix, matrix, matrix)",7597341419,98721815,64,102,1,32,5,1,21,0,0,136.009,0.993,82.002
"matrixMulKernel(matrix, matrix, matrix)",7698946228,96422133,64,29,1,32,18,1,21,0,0,136.009,0.966,82.002
"matrixMulKernel(matrix, matrix, matrix)",7798148350,121437361,64,255,1,32,2,1,21,0,0,136.009,0.795,82.002
"matrixMulKernel(matrix, matrix, matrix)",7922236616,95184470,64,37,1,32,14,1,21,0,0,136.009,0.799,82.002
"matrixMulKernel(matrix, matrix, matrix)",8020043799,96778764,64,85,1,32,6,1,21,0,0,136.009,0.706,82.002
"matrixMulKernel(matrix, matrix, matrix)",8119446908,100130225,64,18,1,32,29,1,21,0,0,136.009,0.868,82.002
"matrixMulKernel(matrix, matrix, matrix)",8222167879,121367763,64,255,1,32,2,1,21,0,0,136.009,0.868,82.002
"matrixMulKernel(matrix, matrix, matrix)",8346114869,94166802,64,20,1,32,26,1,21,0,0,136.009,0.25,82.006
"matrixMulKernel(matrix, matrix, matrix)",8442884288,102082748,64,32,1,32,16,1,21,0,0,136.009,0.966,82.002
"matrixMulKernel(matrix, matrix, matrix)",8547557750,94176114,64,20,1,32,26,1,21,0,0,136.009,0.707,82.002
