dimensions, 2039, 1021, 509
Result (x y micro-second), 7, 28, 376423
Result (x y micro-second), 18, 40, 141624
Result (x y micro-second), 7, 24, 219603
Result (x y micro-second), 52, 9, 131691
Result (x y micro-second), 5, 17, 257582
Result (x y micro-second), 5, 20, 273887
Result (x y micro-second), 22, 24, 139101
Result (x y micro-second), 12, 7, 159403
Result (x y micro-second), 62, 4, 134340
Result (x y micro-second), 24, 40, 131981
Result (x y micro-second), 3, 64, 363207
Result (x y micro-second), 6, 9, 240552
Result (x y micro-second), 17, 23, 147921
Result (x y micro-second), 13, 54, 158024
Result (x y micro-second), 56, 17, 128663
Result (x y micro-second), 9, 13, 185016
Result (x y micro-second), 41, 21, 139282
Result (x y micro-second), 19, 38, 147782
Result (x y micro-second), 17, 20, 147853
Result (x y micro-second), 20, 6, 137806
Result (x y micro-second), 12, 43, 158811
Result (x y micro-second), 9, 47, 188272
Result (x y micro-second), 58, 14, 136848
Result (x y micro-second), 55, 17, 140097
Result (x y micro-second), 6, 8, 268072
Result (x y micro-second), 3, 53, 360779
Result (x y micro-second), 9, 4, 269445
Result (x y micro-second), 16, 33, 118496
Result (x y micro-second), 52, 15, 133387
Result (x y micro-second), 57, 1, 129772
Result (x y micro-second), 14, 54, 154019
Result (x y micro-second), 2, 19, 786162
Result (x y micro-second), 10, 43, 177632
Result (x y micro-second), 15, 28, 157315
Result (x y micro-second), 7, 51, 213141
Result (x y micro-second), 3, 22, 392519
Result (x y micro-second), 54, 6, 135317
Result (x y micro-second), 12, 27, 160105
Result (x y micro-second), 5, 4, 380174
Result (x y micro-second), 5, 43, 253599
Result (x y micro-second), 46, 18, 135271
Result (x y micro-second), 22, 46, 143071
Result (x y micro-second), 7, 47, 211858
Result (x y micro-second), 35, 22, 137305
Result (x y micro-second), 10, 12, 172691
Result (x y micro-second), 21, 16, 143532
Result (x y micro-second), 38, 16, 136995
Result (x y micro-second), 20, 27, 135517
Result (x y micro-second), 22, 31, 134646
Result (x y micro-second), 22, 38, 142534
Result (x y micro-second), 12, 3, 236226
Result (x y micro-second), 8, 6, 200350
Result (x y micro-second), 9, 15, 193612
Result (x y micro-second), 13, 52, 162490
Result (x y micro-second), 14, 50, 149346
Result (x y micro-second), 3, 33, 380851
Result (x y micro-second), 12, 24, 155644
Result (x y micro-second), 63, 1, 152166
Result (x y micro-second), 34, 6, 134210
Result (x y micro-second), 6, 45, 226603
Result (x y micro-second), 8, 61, 173638
Result (x y micro-second), 24, 31, 127418
Result (x y micro-second), 10, 16, 169353
Result (x y micro-second), 7, 57, 210033
