dimension, 4093, 1021
Result (x y micro-second), 18, 25, 194564
Result (x y micro-second), 39, 16, 9574
Result (x y micro-second), 18, 7, 9399
Result (x y micro-second), 6, 59, 10250
Result (x y micro-second), 38, 1, 10279
Result (x y micro-second), 18, 42, 9985
Result (x y micro-second), 22, 2, 10163
Result (x y micro-second), 30, 22, 9267
Result (x y micro-second), 37, 17, 9130
Result (x y micro-second), 21, 6, 9109
Result (x y micro-second), 17, 7, 9202
Result (x y micro-second), 9, 40, 9873
Result (x y micro-second), 24, 35, 9606
Result (x y micro-second), 22, 41, 9470
Result (x y micro-second), 60, 5, 9178
Result (x y micro-second), 24, 34, 9525
Result (x y micro-second), 20, 42, 9561
Result (x y micro-second), 40, 25, 9280
Result (x y micro-second), 36, 13, 9157
Result (x y micro-second), 4, 27, 10519
Result (x y micro-second), 36, 24, 9380
Result (x y micro-second), 31, 14, 9319
Result (x y micro-second), 15, 39, 9528
Result (x y micro-second), 10, 10, 9606
Result (x y micro-second), 15, 5, 9801
Result (x y micro-second), 14, 38, 9892
Result (x y micro-second), 15, 13, 9313
Result (x y micro-second), 25, 19, 9344
Result (x y micro-second), 39, 15, 9313
Result (x y micro-second), 1, 29, 18596
Result (x y micro-second), 34, 4, 9111
Result (x y micro-second), 55, 5, 9087
Result (x y micro-second), 28, 22, 9190
Result (x y micro-second), 36, 7, 9076
Result (x y micro-second), 32, 24, 9192
Result (x y micro-second), 32, 18, 9086
Result (x y micro-second), 16, 46, 9731
Result (x y micro-second), 30, 10, 9184
Result (x y micro-second), 28, 7, 9123
Result (x y micro-second), 5, 29, 10353
Result (x y micro-second), 32, 25, 9188
Result (x y micro-second), 52, 17, 9308
Result (x y micro-second), 39, 20, 9396
Result (x y micro-second), 41, 19, 9389
Result (x y micro-second), 60, 10, 9205
Result (x y micro-second), 12, 41, 9613
Result (x y micro-second), 58, 8, 9198
Result (x y micro-second), 25, 24, 9307
Result (x y micro-second), 17, 56, 9544
Result (x y micro-second), 14, 44, 9593
Result (x y micro-second), 8, 32, 9586
Result (x y micro-second), 39, 4, 9001
Result (x y micro-second), 12, 31, 9579
Result (x y micro-second), 47, 6, 9566
Result (x y micro-second), 38, 7, 9127
Result (x y micro-second), 16, 19, 9212
Result (x y micro-second), 16, 49, 9548
Result (x y micro-second), 56, 15, 9306
Result (x y micro-second), 6, 45, 10081
Result (x y micro-second), 11, 45, 9695
Result (x y micro-second), 18, 49, 9539
Result (x y micro-second), 15, 31, 9617
Result (x y micro-second), 39, 10, 9374
Result (x y micro-second), 29, 33, 9404
Result (x y micro-second), 17, 1, 12928
Result (x y micro-second), 10, 32, 9621
Result (x y micro-second), 49, 1, 9798
Result (x y micro-second), 16, 53, 9524
Result (x y micro-second), 18, 54, 9512
Result (x y micro-second), 42, 2, 9199
Result (x y micro-second), 49, 18, 9231
Result (x y micro-second), 35, 23, 9536
Result (x y micro-second), 56, 12, 9095
Result (x y micro-second), 55, 8, 9179
Result (x y micro-second), 12, 64, 9972
Result (x y micro-second), 35, 7, 9110
Result (x y micro-second), 11, 10, 9468
Result (x y micro-second), 6, 28, 10220
Result (x y micro-second), 14, 40, 9736
Result (x y micro-second), 58, 7, 9211
Result (x y micro-second), 21, 20, 9455
Result (x y micro-second), 6, 12, 10223
Result (x y micro-second), 19, 43, 9613
Result (x y micro-second), 15, 25, 9439
Result (x y micro-second), 37, 7, 9134
Result (x y micro-second), 47, 7, 9330
Result (x y micro-second), 13, 57, 10002
Result (x y micro-second), 16, 19, 9237
Result (x y micro-second), 20, 15, 9207
Result (x y micro-second), 3, 36, 11336
Result (x y micro-second), 31, 16, 9154
Result (x y micro-second), 12, 25, 9505
Result (x y micro-second), 10, 51, 9670
Result (x y micro-second), 18, 24, 9501
Result (x y micro-second), 11, 54, 9750
Result (x y micro-second), 49, 12, 9197
Result (x y micro-second), 61, 4, 8998
Result (x y micro-second), 37, 16, 9230
Result (x y micro-second), 9, 3, 11506
Result (x y micro-second), 10, 50, 9733
Result (x y micro-second), 1, 45, 20832
Result (x y micro-second), 64, 10, 9119
Result (x y micro-second), 31, 17, 9341
Result (x y micro-second), 7, 63, 10274
Result (x y micro-second), 34, 3, 9127
Result (x y micro-second), 41, 18, 9380
Result (x y micro-second), 14, 37, 9875
Result (x y micro-second), 22, 40, 9534
Result (x y micro-second), 5, 48, 10536
Result (x y micro-second), 52, 14, 9371
Result (x y micro-second), 33, 20, 9116
Result (x y micro-second), 6, 12, 10153
Result (x y micro-second), 7, 12, 9908
Result (x y micro-second), 10, 40, 10261
Result (x y micro-second), 14, 51, 10231
Result (x y micro-second), 23, 14, 9397
Result (x y micro-second), 2, 44, 12571
Result (x y micro-second), 7, 56, 10711
Result (x y micro-second), 10, 2, 12424
Result (x y micro-second), 44, 14, 9175
Result (x y micro-second), 27, 17, 9234
Result (x y micro-second), 50, 16, 9417
Result (x y micro-second), 5, 28, 10363
Result (x y micro-second), 15, 10, 9305
Result (x y micro-second), 39, 21, 9504
Result (x y micro-second), 21, 48, 9432
Result (x y micro-second), 2, 62, 12611
Result (x y micro-second), 36, 9, 9258
Result (x y micro-second), 10, 32, 9600
Result (x y micro-second), 11, 48, 10149
Result (x y micro-second), 4, 5, 13400
Result (x y micro-second), 38, 14, 9337
Result (x y micro-second), 6, 53, 10144
Result (x y micro-second), 22, 6, 9255
Result (x y micro-second), 51, 16, 9336
Result (x y micro-second), 36, 11, 9372
Result (x y micro-second), 31, 7, 9118
Result (x y micro-second), 6, 63, 10151
Result (x y micro-second), 36, 5, 8992
Result (x y micro-second), 47, 9, 9270
Result (x y micro-second), 19, 34, 9394
Result (x y micro-second), 42, 24, 9243
Result (x y micro-second), 22, 8, 9224
Result (x y micro-second), 1, 18, 19368
Result (x y micro-second), 27, 23, 9200
Result (x y micro-second), 23, 13, 9305
Result (x y micro-second), 38, 23, 9329
Result (x y micro-second), 60, 9, 9382
Result (x y micro-second), 33, 27, 9332
Result (x y micro-second), 15, 38, 9721
Result (x y micro-second), 2, 6, 17255
Result (x y micro-second), 28, 27, 9454
Result (x y micro-second), 7, 49, 10262
Result (x y micro-second), 6, 49, 10224
Result (x y micro-second), 9, 27, 9664
Result (x y micro-second), 56, 9, 9113
Result (x y micro-second), 44, 18, 9338
Result (x y micro-second), 31, 2, 9578
Result (x y micro-second), 30, 4, 9009
Result (x y micro-second), 24, 26, 9289
Result (x y micro-second), 12, 56, 9576
Result (x y micro-second), 30, 12, 9219
Result (x y micro-second), 23, 31, 9882
Result (x y micro-second), 18, 50, 9593
Result (x y micro-second), 57, 7, 9292
Result (x y micro-second), 8, 48, 9764
Result (x y micro-second), 39, 16, 9190
Result (x y micro-second), 10, 30, 9674
Result (x y micro-second), 55, 13, 9421
Result (x y micro-second), 59, 14, 9394
Result (x y micro-second), 38, 6, 9096
Result (x y micro-second), 6, 25, 10074
Result (x y micro-second), 1, 54, 18734
Result (x y micro-second), 17, 39, 9394
Result (x y micro-second), 14, 24, 9580
Result (x y micro-second), 54, 10, 9293
Result (x y micro-second), 13, 48, 9622
Result (x y micro-second), 11, 21, 9540
Result (x y micro-second), 11, 63, 10447
Result (x y micro-second), 10, 8, 9649
Result (x y micro-second), 5, 23, 10293
Result (x y micro-second), 32, 27, 9108
Result (x y micro-second), 10, 7, 9729
Result (x y micro-second), 6, 13, 10161
Result (x y micro-second), 23, 38, 9428
Result (x y micro-second), 23, 32, 9749
Result (x y micro-second), 10, 33, 9923
Result (x y micro-second), 52, 8, 9224
Result (x y micro-second), 15, 63, 9603
Result (x y micro-second), 6, 50, 10218
Result (x y micro-second), 17, 58, 9510
Result (x y micro-second), 5, 21, 10368
Result (x y micro-second), 16, 36, 9405
Result (x y micro-second), 53, 11, 9279
Result (x y micro-second), 42, 11, 9241
Result (x y micro-second), 48, 20, 9235
Result (x y micro-second), 56, 7, 9343
Result (x y micro-second), 51, 1, 9856
Result (x y micro-second), 8, 54, 9994
Result (x y micro-second), 36, 13, 9205
Result (x y micro-second), 39, 20, 9401
Result (x y micro-second), 10, 55, 10068
Result (x y micro-second), 13, 15, 9414
Result (x y micro-second), 12, 28, 9751
Result (x y micro-second), 10, 22, 9552
Result (x y micro-second), 32, 32, 9078
Result (x y micro-second), 6, 23, 10017
Result (x y micro-second), 23, 12, 9159
Result (x y micro-second), 30, 30, 9401
Result (x y micro-second), 1, 1, 89918
Result (x y micro-second), 30, 33, 9350
Result (x y micro-second), 2, 41, 12625
Result (x y micro-second), 14, 4, 9767
Result (x y micro-second), 21, 24, 9271
Result (x y micro-second), 25, 5, 9001
Result (x y micro-second), 10, 56, 10141
Result (x y micro-second), 36, 16, 9256
Result (x y micro-second), 14, 9, 9373
Result (x y micro-second), 7, 36, 9868
Result (x y micro-second), 20, 36, 9872
Result (x y micro-second), 1, 21, 19030
Result (x y micro-second), 29, 25, 9594
Result (x y micro-second), 25, 30, 9586
Result (x y micro-second), 2, 21, 15013
Result (x y micro-second), 17, 36, 9454
Result (x y micro-second), 5, 30, 10363
Result (x y micro-second), 39, 25, 9290
Result (x y micro-second), 14, 3, 10390
Result (x y micro-second), 8, 20, 9502
Result (x y micro-second), 15, 43, 9528
Result (x y micro-second), 20, 44, 9493
Result (x y micro-second), 3, 44, 11401
Result (x y micro-second), 9, 4, 10954
Result (x y micro-second), 1, 25, 18800
Result (x y micro-second), 39, 5, 9101
Result (x y micro-second), 55, 13, 9474
Result (x y micro-second), 11, 58, 9775
Result (x y micro-second), 2, 1, 49183
Result (x y micro-second), 10, 39, 10196
Result (x y micro-second), 28, 1, 11042
Result (x y micro-second), 12, 11, 9641
Result (x y micro-second), 28, 27, 9801
Result (x y micro-second), 6, 55, 10559
Result (x y micro-second), 26, 14, 9295
Result (x y micro-second), 30, 29, 9488
Result (x y micro-second), 7, 56, 10790
Result (x y micro-second), 32, 7, 9020
Result (x y micro-second), 17, 9, 9259
Result (x y micro-second), 5, 5, 12437
Result (x y micro-second), 55, 10, 9274
Result (x y micro-second), 60, 17, 9211
Result (x y micro-second), 22, 8, 9236
Result (x y micro-second), 26, 3, 9298
Result (x y micro-second), 2, 32, 12735
Result (x y micro-second), 15, 50, 10005
Result (x y micro-second), 42, 12, 9138
Result (x y micro-second), 33, 9, 9155
Result (x y micro-second), 18, 15, 9269
Result (x y micro-second), 39, 14, 9267
Result (x y micro-second), 2, 34, 12684
Result (x y micro-second), 30, 25, 9473
Result (x y micro-second), 23, 7, 9300
Result (x y micro-second), 22, 45, 9406
Result (x y micro-second), 14, 47, 9565
Result (x y micro-second), 47, 15, 9541
Result (x y micro-second), 14, 41, 9685
Result (x y micro-second), 3, 29, 11403
Result (x y micro-second), 26, 35, 9465
Result (x y micro-second), 16, 4, 9541
Result (x y micro-second), 12, 63, 10062
Result (x y micro-second), 33, 21, 9594
Result (x y micro-second), 55, 8, 9181
Result (x y micro-second), 16, 64, 9350
Result (x y micro-second), 5, 37, 10478
Result (x y micro-second), 44, 19, 9438
Result (x y micro-second), 19, 26, 9333
Result (x y micro-second), 3, 36, 11327
Result (x y micro-second), 6, 11, 10258
Result (x y micro-second), 41, 18, 9456
Result (x y micro-second), 12, 31, 9558
Result (x y micro-second), 22, 1, 11813
Result (x y micro-second), 9, 43, 10345
Result (x y micro-second), 2, 27, 13421
Result (x y micro-second), 5, 34, 10591
Result (x y micro-second), 59, 7, 9202
Result (x y micro-second), 5, 54, 10398
Result (x y micro-second), 34, 10, 9428
Result (x y micro-second), 1, 1, 89826
Result (x y micro-second), 50, 19, 9391
Result (x y micro-second), 42, 7, 9135
Result (x y micro-second), 22, 21, 9294
Result (x y micro-second), 44, 22, 9341
Result (x y micro-second), 4, 52, 10570
Result (x y micro-second), 64, 5, 8940
Result (x y micro-second), 15, 4, 9676
Result (x y micro-second), 38, 9, 9299
Result (x y micro-second), 10, 43, 9961
Result (x y micro-second), 40, 25, 9268
Result (x y micro-second), 39, 25, 9293
Result (x y micro-second), 46, 16, 9504
Result (x y micro-second), 32, 3, 9040
Result (x y micro-second), 36, 11, 9378
Result (x y micro-second), 24, 39, 9352
Result (x y micro-second), 43, 12, 9417
Result (x y micro-second), 27, 17, 9231
Result (x y micro-second), 20, 37, 9768
Result (x y micro-second), 16, 46, 9803
Result (x y micro-second), 15, 59, 9693
Result (x y micro-second), 29, 7, 9166
Result (x y micro-second), 16, 56, 9457
Result (x y micro-second), 16, 22, 9315
Result (x y micro-second), 16, 61, 9406
Result (x y micro-second), 64, 9, 9047
Result (x y micro-second), 2, 9, 15259
Result (x y micro-second), 42, 21, 9334
Result (x y micro-second), 17, 53, 9600
Result (x y micro-second), 59, 5, 9122
Result (x y micro-second), 63, 10, 9118
Result (x y micro-second), 7, 26, 9870
Result (x y micro-second), 35, 15, 9416
Result (x y micro-second), 21, 24, 9206
Result (x y micro-second), 60, 15, 9368
Result (x y micro-second), 28, 33, 9375
Result (x y micro-second), 32, 5, 8927
Result (x y micro-second), 24, 24, 9248
Result (x y micro-second), 53, 3, 8998
Result (x y micro-second), 7, 59, 10588
Result (x y micro-second), 46, 14, 9185
Result (x y micro-second), 18, 42, 9890
Result (x y micro-second), 41, 13, 9340
Result (x y micro-second), 17, 39, 9351
Result (x y micro-second), 53, 1, 9690
Result (x y micro-second), 11, 49, 10242
Result (x y micro-second), 15, 39, 9567
Result (x y micro-second), 17, 6, 9257
Result (x y micro-second), 41, 18, 9455
Result (x y micro-second), 37, 5, 9044
Result (x y micro-second), 3, 62, 11516
Result (x y micro-second), 10, 47, 9831
Result (x y micro-second), 2, 30, 12966
Result (x y micro-second), 57, 11, 9104
Result (x y micro-second), 13, 44, 9730
Result (x y micro-second), 15, 9, 9225
Result (x y micro-second), 2, 11, 14631
Result (x y micro-second), 46, 1, 9927
Result (x y micro-second), 24, 36, 9418
Result (x y micro-second), 34, 26, 9493
Result (x y micro-second), 22, 4, 9343
Result (x y micro-second), 21, 15, 9236
Result (x y micro-second), 14, 34, 9511
Result (x y micro-second), 2, 30, 12959
Result (x y micro-second), 51, 16, 9365
Result (x y micro-second), 26, 37, 9375
Result (x y micro-second), 35, 8, 9209
Result (x y micro-second), 37, 15, 9441
Result (x y micro-second), 48, 3, 9263
Result (x y micro-second), 23, 9, 9212
Result (x y micro-second), 34, 17, 9285
Result (x y micro-second), 31, 8, 9090
Result (x y micro-second), 24, 24, 9295
Result (x y micro-second), 34, 2, 9480
Result (x y micro-second), 62, 4, 8986
Result (x y micro-second), 9, 35, 9723
Result (x y micro-second), 18, 7, 9156
Result (x y micro-second), 63, 16, 9209
Result (x y micro-second), 7, 15, 9886
Result (x y micro-second), 9, 1, 17179
Result (x y micro-second), 5, 39, 10481
Result (x y micro-second), 8, 28, 9581
Result (x y micro-second), 62, 4, 9041
Result (x y micro-second), 12, 20, 9394
Result (x y micro-second), 28, 9, 9070
Result (x y micro-second), 23, 36, 9519
Result (x y micro-second), 5, 35, 10492
Result (x y micro-second), 56, 3, 9085
Result (x y micro-second), 10, 64, 9933
Result (x y micro-second), 30, 8, 9096
Result (x y micro-second), 3, 17, 12146
Result (x y micro-second), 44, 4, 9009
Result (x y micro-second), 8, 7, 9975
Result (x y micro-second), 13, 30, 9978
Result (x y micro-second), 6, 20, 10011
Result (x y micro-second), 23, 42, 9419
Result (x y micro-second), 12, 40, 9590
Result (x y micro-second), 11, 39, 9818
Result (x y micro-second), 32, 10, 9056
Result (x y micro-second), 10, 23, 9509
Result (x y micro-second), 12, 19, 9477
Result (x y micro-second), 22, 42, 9474
Result (x y micro-second), 26, 25, 9256
Result (x y micro-second), 13, 37, 9490
Result (x y micro-second), 22, 20, 9412
Result (x y micro-second), 32, 31, 9079
Result (x y micro-second), 9, 44, 10310
Result (x y micro-second), 7, 19, 9946
Result (x y micro-second), 18, 38, 10117
Result (x y micro-second), 28, 27, 9464
Result (x y micro-second), 45, 18, 9352
Result (x y micro-second), 17, 7, 9265
Result (x y micro-second), 42, 10, 9279
Result (x y micro-second), 9, 26, 9641
Result (x y micro-second), 16, 57, 9479
Result (x y micro-second), 22, 15, 9380
Result (x y micro-second), 48, 11, 9363
Result (x y micro-second), 33, 12, 9419
Result (x y micro-second), 51, 17, 9419
Result (x y micro-second), 45, 3, 9060
Result (x y micro-second), 23, 22, 9236
Result (x y micro-second), 12, 47, 9822
Result (x y micro-second), 11, 58, 9785
Result (x y micro-second), 29, 19, 9328
Result (x y micro-second), 19, 44, 9634
Result (x y micro-second), 12, 1, 14946
Result (x y micro-second), 24, 40, 9373
Result (x y micro-second), 8, 13, 9554
Result (x y micro-second), 5, 1, 24570
Result (x y micro-second), 8, 52, 10166
Result (x y micro-second), 11, 40, 9791
Result (x y micro-second), 3, 49, 11347
Result (x y micro-second), 5, 63, 10423
Result (x y micro-second), 5, 16, 10341
Result (x y micro-second), 34, 11, 9200
Result (x y micro-second), 12, 45, 9925
Result (x y micro-second), 11, 30, 9847
Result (x y micro-second), 5, 46, 10369
Result (x y micro-second), 46, 9, 9303
Result (x y micro-second), 14, 30, 9619
Result (x y micro-second), 33, 19, 9201
Result (x y micro-second), 32, 3, 9054
Result (x y micro-second), 8, 21, 9632
Result (x y micro-second), 9, 12, 9579
Result (x y micro-second), 3, 55, 11874
Result (x y micro-second), 20, 49, 9495
Result (x y micro-second), 43, 16, 9587
Result (x y micro-second), 41, 7, 8989
Result (x y micro-second), 10, 16, 9525
Result (x y micro-second), 17, 50, 9728
Result (x y micro-second), 3, 44, 11368
Result (x y micro-second), 2, 3, 23464
Result (x y micro-second), 41, 11, 9206
Result (x y micro-second), 14, 43, 9556
Result (x y micro-second), 1, 34, 25085
Result (x y micro-second), 49, 3, 9014
Result (x y micro-second), 19, 21, 9633
Result (x y micro-second), 45, 8, 9133
Result (x y micro-second), 6, 62, 10166
Result (x y micro-second), 57, 9, 9306
Result (x y micro-second), 58, 17, 9219
Result (x y micro-second), 2, 52, 12579
Result (x y micro-second), 36, 3, 9097
Result (x y micro-second), 54, 12, 9096
Result (x y micro-second), 13, 4, 9944
Result (x y micro-second), 54, 13, 9516
Result (x y micro-second), 37, 16, 9250
Result (x y micro-second), 19, 40, 9936
Result (x y micro-second), 14, 37, 9961
Result (x y micro-second), 44, 2, 9230
Result (x y micro-second), 10, 32, 9633
Result (x y micro-second), 14, 53, 10181
Result (x y micro-second), 6, 7, 11106
Result (x y micro-second), 5, 7, 12083
Result (x y micro-second), 10, 48, 9822
Result (x y micro-second), 35, 23, 9428
Result (x y micro-second), 43, 11, 9193
Result (x y micro-second), 1, 56, 18327
Result (x y micro-second), 63, 8, 9184
Result (x y micro-second), 7, 12, 9922
Result (x y micro-second), 61, 12, 9339
Result (x y micro-second), 18, 1, 12597
Result (x y micro-second), 19, 11, 9270
Result (x y micro-second), 6, 19, 9958
