dimension, 2039, 2039
Result (x y micro-second), 6, 43, 10072
Result (x y micro-second), 11, 52, 9728
Result (x y micro-second), 31, 5, 8899
Result (x y micro-second), 47, 1, 9757
Result (x y micro-second), 48, 4, 8873
Result (x y micro-second), 6, 5, 11436
Result (x y micro-second), 4, 10, 11826
Result (x y micro-second), 14, 56, 9724
Result (x y micro-second), 31, 3, 8987
Result (x y micro-second), 23, 26, 9241
Result (x y micro-second), 22, 25, 9264
Result (x y micro-second), 20, 16, 9052
Result (x y micro-second), 10, 1, 16069
Result (x y micro-second), 5, 19, 10200
Result (x y micro-second), 27, 18, 9088
Result (x y micro-second), 43, 18, 9260
Result (x y micro-second), 10, 62, 9637
Result (x y micro-second), 28, 24, 9013
Result (x y micro-second), 24, 12, 8931
Result (x y micro-second), 12, 29, 9471
Result (x y micro-second), 17, 53, 9473
Result (x y micro-second), 32, 9, 8778
Result (x y micro-second), 51, 15, 9281
Result (x y micro-second), 9, 62, 10015
Result (x y micro-second), 54, 5, 8908
Result (x y micro-second), 14, 21, 9242
Result (x y micro-second), 1, 63, 17176
Result (x y micro-second), 27, 17, 9125
Result (x y micro-second), 26, 21, 9234
Result (x y micro-second), 58, 12, 9472
Result (x y micro-second), 35, 29, 9196
Result (x y micro-second), 26, 38, 9226
Result (x y micro-second), 47, 9, 9147
Result (x y micro-second), 5, 5, 12124
Result (x y micro-second), 1, 34, 24856
Result (x y micro-second), 26, 8, 8977
Result (x y micro-second), 3, 54, 11817
Result (x y micro-second), 33, 9, 9029
Result (x y micro-second), 7, 17, 9689
Result (x y micro-second), 27, 32, 9277
Result (x y micro-second), 39, 24, 9213
Result (x y micro-second), 42, 19, 9160
Result (x y micro-second), 58, 7, 9089
Result (x y micro-second), 17, 18, 9143
Result (x y micro-second), 27, 34, 9309
Result (x y micro-second), 1, 14, 19727
Result (x y micro-second), 2, 54, 12469
Result (x y micro-second), 48, 21, 9100
Result (x y micro-second), 18, 10, 9145
Result (x y micro-second), 18, 44, 9513
Result (x y micro-second), 15, 54, 9574
Result (x y micro-second), 23, 38, 9313
Result (x y micro-second), 28, 36, 9163
Result (x y micro-second), 1, 11, 20665
Result (x y micro-second), 56, 18, 9132
Result (x y micro-second), 20, 44, 9412
Result (x y micro-second), 57, 17, 9084
Result (x y micro-second), 6, 55, 10312
Result (x y micro-second), 15, 64, 9487
Result (x y micro-second), 53, 10, 9129
Result (x y micro-second), 31, 26, 9298
Result (x y micro-second), 13, 26, 9556
Result (x y micro-second), 10, 14, 9381
Result (x y micro-second), 36, 2, 9194
Result (x y micro-second), 8, 50, 10085
Result (x y micro-second), 13, 63, 9826
Result (x y micro-second), 10, 46, 9700
Result (x y micro-second), 44, 9, 9098
Result (x y micro-second), 34, 30, 9225
Result (x y micro-second), 6, 6, 11439
Result (x y micro-second), 61, 11, 8934
Result (x y micro-second), 59, 4, 8895
Result (x y micro-second), 60, 7, 9055
Result (x y micro-second), 2, 30, 12800
Result (x y micro-second), 1, 35, 24363
Result (x y micro-second), 18, 23, 9508
Result (x y micro-second), 8, 42, 9755
Result (x y micro-second), 33, 17, 9124
Result (x y micro-second), 23, 12, 9073
Result (x y micro-second), 4, 59, 10440
Result (x y micro-second), 8, 9, 9625
Result (x y micro-second), 45, 1, 9801
Result (x y micro-second), 8, 46, 9618
