dimensions, 1021, 1021, 1021
Result (x y micro-second), 20, 29, 338388
Result (x y micro-second), 20, 48, 140263
Result (x y micro-second), 57, 4, 135926
Result (x y micro-second), 5, 51, 253545
Result (x y micro-second), 32, 1, 226090
Result (x y micro-second), 47, 5, 134717
Result (x y micro-second), 40, 24, 130193
Result (x y micro-second), 29, 2, 136940
Result (x y micro-second), 2, 11, 609383
Result (x y micro-second), 26, 16, 133953
Result (x y micro-second), 1, 42, 1382146
Result (x y micro-second), 51, 19, 140230
Result (x y micro-second), 5, 44, 253057
Result (x y micro-second), 10, 25, 172320
Result (x y micro-second), 28, 2, 140108
Result (x y micro-second), 28, 32, 133748
Result (x y micro-second), 2, 20, 752065
Result (x y micro-second), 24, 38, 131927
Result (x y micro-second), 7, 52, 211917
Result (x y micro-second), 54, 7, 130882
Result (x y micro-second), 9, 9, 185107
Result (x y micro-second), 23, 13, 139787
Result (x y micro-second), 37, 15, 137489
Result (x y micro-second), 52, 8, 129729
Result (x y micro-second), 17, 33, 149001
Result (x y micro-second), 48, 6, 118953
Result (x y micro-second), 16, 4, 123691
Result (x y micro-second), 17, 18, 150170
Result (x y micro-second), 6, 53, 224338
Result (x y micro-second), 53, 15, 133593
Result (x y micro-second), 37, 13, 140699
Result (x y micro-second), 20, 16, 135995
Result (x y micro-second), 56, 3, 150961
Result (x y micro-second), 22, 31, 133481
Result (x y micro-second), 41, 17, 126057
Result (x y micro-second), 21, 19, 140242
Result (x y micro-second), 25, 4, 143297
Result (x y micro-second), 10, 13, 186697
Result (x y micro-second), 18, 7, 136106
Result (x y micro-second), 62, 15, 159829
Result (x y micro-second), 42, 16, 137662
Result (x y micro-second), 40, 10, 126522
Result (x y micro-second), 13, 14, 169000
Result (x y micro-second), 3, 10, 404961
Result (x y micro-second), 23, 39, 143592
Result (x y micro-second), 10, 39, 176318
Result (x y micro-second), 29, 29, 140952
Result (x y micro-second), 34, 21, 133981
Result (x y micro-second), 35, 1, 247345
Result (x y micro-second), 41, 15, 138115
Result (x y micro-second), 24, 9, 125477
Result (x y micro-second), 17, 3, 155958
Result (x y micro-second), 25, 13, 138179
Result (x y micro-second), 50, 15, 132461
Result (x y micro-second), 37, 14, 135775
Result (x y micro-second), 43, 6, 137143
Result (x y micro-second), 52, 5, 136245
Result (x y micro-second), 30, 22, 138350
Result (x y micro-second), 5, 6, 298256
Result (x y micro-second), 63, 1, 148430
Result (x y micro-second), 39, 17, 138707
Result (x y micro-second), 29, 32, 139150
Result (x y micro-second), 14, 1, 497328
Result (x y micro-second), 6, 15, 226951
Result (x y micro-second), 14, 23, 155908
Result (x y micro-second), 13, 47, 161880
Result (x y micro-second), 43, 11, 135397
Result (x y micro-second), 24, 2, 157083
Result (x y micro-second), 54, 6, 134219
Result (x y micro-second), 1, 18, 1090866
Result (x y micro-second), 37, 14, 135868
Result (x y micro-second), 18, 17, 143806
Result (x y micro-second), 6, 23, 231887
Result (x y micro-second), 16, 50, 118641
Result (x y micro-second), 29, 29, 140807
Result (x y micro-second), 9, 28, 183635
Result (x y micro-second), 14, 21, 158130
Result (x y micro-second), 10, 56, 175354
Result (x y micro-second), 31, 31, 140767
Result (x y micro-second), 4, 57, 281788
Result (x y micro-second), 10, 34, 174520
Result (x y micro-second), 10, 27, 177905
Result (x y micro-second), 50, 15, 132582
Result (x y micro-second), 49, 17, 138323
Result (x y micro-second), 3, 13, 552142
Result (x y micro-second), 29, 11, 134506
Result (x y micro-second), 28, 10, 131204
Result (x y micro-second), 2, 52, 503791
Result (x y micro-second), 58, 17, 136939
Result (x y micro-second), 7, 43, 212098
Result (x y micro-second), 3, 6, 490217
Result (x y micro-second), 47, 12, 136122
Result (x y micro-second), 26, 16, 133766
Result (x y micro-second), 10, 3, 249835
Result (x y micro-second), 15, 37, 154636
Result (x y micro-second), 12, 7, 159293
Result (x y micro-second), 4, 13, 319256
Result (x y micro-second), 11, 42, 170389
Result (x y micro-second), 29, 27, 137774
Result (x y micro-second), 30, 7, 134617
Result (x y micro-second), 12, 43, 158799
Result (x y micro-second), 9, 59, 185621
Result (x y micro-second), 10, 64, 173737
Result (x y micro-second), 36, 24, 134227
Result (x y micro-second), 1, 5, 1678210
Result (x y micro-second), 1, 58, 1015284
Result (x y micro-second), 9, 9, 185110
Result (x y micro-second), 2, 38, 502167
Result (x y micro-second), 15, 64, 154678
Result (x y micro-second), 5, 26, 272328
Result (x y micro-second), 42, 13, 142855
Result (x y micro-second), 20, 32, 138865
Result (x y micro-second), 31, 18, 137778
Result (x y micro-second), 52, 3, 133896
Result (x y micro-second), 1, 18, 1090905
Result (x y micro-second), 11, 14, 165866
Result (x y micro-second), 20, 20, 136990
Result (x y micro-second), 22, 22, 142614
