dimension, 1021, 4093
Result (x y micro-second), 20, 15, 9355
Result (x y micro-second), 9, 58, 10473
Result (x y micro-second), 14, 60, 9883
Result (x y micro-second), 17, 12, 9321
Result (x y micro-second), 48, 16, 9404
Result (x y micro-second), 14, 47, 9548
Result (x y micro-second), 63, 13, 9288
Result (x y micro-second), 17, 36, 9487
Result (x y micro-second), 36, 3, 9112
Result (x y micro-second), 40, 12, 9185
Result (x y micro-second), 61, 5, 9105
Result (x y micro-second), 19, 41, 9694
Result (x y micro-second), 23, 32, 9759
Result (x y micro-second), 45, 3, 9114
Result (x y micro-second), 28, 8, 9095
Result (x y micro-second), 7, 52, 10162
Result (x y micro-second), 6, 54, 10671
Result (x y micro-second), 11, 41, 9802
Result (x y micro-second), 1, 19, 19373
Result (x y micro-second), 2, 31, 12862
Result (x y micro-second), 2, 21, 15003
Result (x y micro-second), 1, 8, 23551
Result (x y micro-second), 9, 6, 10161
Result (x y micro-second), 1, 3, 38653
Result (x y micro-second), 15, 22, 9615
Result (x y micro-second), 55, 1, 9680
Result (x y micro-second), 12, 56, 9665
Result (x y micro-second), 31, 5, 9055
Result (x y micro-second), 21, 35, 9965
Result (x y micro-second), 37, 18, 9161
Result (x y micro-second), 14, 21, 9439
Result (x y micro-second), 13, 29, 9568
Result (x y micro-second), 42, 3, 9135
Result (x y micro-second), 27, 19, 9446
Result (x y micro-second), 26, 2, 9822
Result (x y micro-second), 52, 15, 9343
Result (x y micro-second), 26, 22, 9336
Result (x y micro-second), 27, 13, 9322
Result (x y micro-second), 41, 20, 9424
Result (x y micro-second), 41, 5, 9056
Result (x y micro-second), 9, 34, 9806
Result (x y micro-second), 64, 2, 8906
Result (x y micro-second), 12, 27, 9738
Result (x y micro-second), 20, 37, 9830
Result (x y micro-second), 28, 7, 9150
Result (x y micro-second), 52, 2, 9064
Result (x y micro-second), 64, 6, 9033
Result (x y micro-second), 8, 57, 10039
Result (x y micro-second), 6, 7, 11094
Result (x y micro-second), 43, 14, 9252
Result (x y micro-second), 15, 52, 9901
Result (x y micro-second), 4, 34, 10558
Result (x y micro-second), 24, 32, 9534
Result (x y micro-second), 40, 11, 9233
Result (x y micro-second), 33, 20, 9187
Result (x y micro-second), 28, 13, 9195
Result (x y micro-second), 19, 18, 9453
Result (x y micro-second), 33, 25, 9448
Result (x y micro-second), 24, 11, 9171
Result (x y micro-second), 22, 11, 9275
Result (x y micro-second), 17, 4, 9677
Result (x y micro-second), 22, 42, 9540
Result (x y micro-second), 54, 5, 9156
Result (x y micro-second), 47, 15, 9572
Result (x y micro-second), 16, 7, 9113
Result (x y micro-second), 6, 14, 10124
Result (x y micro-second), 5, 63, 10486
Result (x y micro-second), 3, 28, 11454
Result (x y micro-second), 18, 12, 9245
Result (x y micro-second), 54, 5, 9086
Result (x y micro-second), 9, 4, 10981
Result (x y micro-second), 33, 12, 9458
Result (x y micro-second), 37, 16, 9351
Result (x y micro-second), 1, 17, 19553
Result (x y micro-second), 19, 5, 9266
Result (x y micro-second), 15, 21, 9443
Result (x y micro-second), 32, 10, 8954
Result (x y micro-second), 21, 5, 9224
Result (x y micro-second), 25, 10, 9252
Result (x y micro-second), 10, 49, 9762
Result (x y micro-second), 53, 18, 9281
Result (x y micro-second), 52, 18, 9269
Result (x y micro-second), 19, 43, 9661
Result (x y micro-second), 14, 37, 9983
Result (x y micro-second), 58, 15, 9348
Result (x y micro-second), 41, 24, 9401
Result (x y micro-second), 3, 50, 11397
Result (x y micro-second), 8, 55, 10076
Result (x y micro-second), 4, 59, 10668
Result (x y micro-second), 8, 2, 13520
Result (x y micro-second), 14, 37, 9988
Result (x y micro-second), 40, 6, 9073
Result (x y micro-second), 48, 4, 8974
Result (x y micro-second), 31, 31, 9440
Result (x y micro-second), 31, 24, 9519
Result (x y micro-second), 45, 3, 9091
Result (x y micro-second), 3, 62, 11567
Result (x y micro-second), 22, 10, 9179
Result (x y micro-second), 4, 59, 10628
Result (x y micro-second), 26, 17, 9338
Result (x y micro-second), 1, 59, 17941
Result (x y micro-second), 1, 46, 20659
Result (x y micro-second), 14, 16, 9345
Result (x y micro-second), 19, 18, 9512
Result (x y micro-second), 37, 14, 9354
Result (x y micro-second), 11, 11, 9454
Result (x y micro-second), 4, 23, 10621
Result (x y micro-second), 58, 4, 9118
Result (x y micro-second), 18, 49, 9603
Result (x y micro-second), 44, 18, 9382
Result (x y micro-second), 30, 14, 10115
Result (x y micro-second), 1, 15, 19789
Result (x y micro-second), 13, 15, 9457
Result (x y micro-second), 8, 49, 10266
Result (x y micro-second), 19, 8, 9241
Result (x y micro-second), 52, 3, 9000
Result (x y micro-second), 5, 22, 10354
Result (x y micro-second), 18, 56, 9549
Result (x y micro-second), 19, 11, 9216
Result (x y micro-second), 39, 1, 10260
Result (x y micro-second), 3, 5, 15167
Result (x y micro-second), 36, 11, 9430
Result (x y micro-second), 2, 9, 15281
Result (x y micro-second), 11, 61, 9786
Result (x y micro-second), 11, 64, 10514
Result (x y micro-second), 55, 10, 9336
Result (x y micro-second), 25, 33, 9511
Result (x y micro-second), 55, 12, 9121
Result (x y micro-second), 22, 29, 9404
Result (x y micro-second), 12, 24, 9419
Result (x y micro-second), 34, 21, 9548
Result (x y micro-second), 7, 24, 10044
Result (x y micro-second), 6, 8, 10762
Result (x y micro-second), 58, 6, 9164
Result (x y micro-second), 59, 6, 9150
Result (x y micro-second), 18, 40, 10171
Result (x y micro-second), 8, 28, 9602
Result (x y micro-second), 56, 1, 9660
Result (x y micro-second), 61, 14, 9255
Result (x y micro-second), 27, 30, 9538
Result (x y micro-second), 2, 21, 15000
Result (x y micro-second), 36, 19, 9701
Result (x y micro-second), 60, 8, 9147
Result (x y micro-second), 61, 4, 9075
Result (x y micro-second), 32, 27, 9140
Result (x y micro-second), 50, 20, 9255
Result (x y micro-second), 22, 23, 9272
Result (x y micro-second), 17, 18, 9405
Result (x y micro-second), 36, 1, 10423
Result (x y micro-second), 10, 27, 9612
Result (x y micro-second), 42, 7, 9142
Result (x y micro-second), 60, 4, 9089
Result (x y micro-second), 24, 7, 9176
Result (x y micro-second), 16, 20, 9219
Result (x y micro-second), 15, 12, 9364
Result (x y micro-second), 11, 46, 9671
Result (x y micro-second), 10, 61, 10024
Result (x y micro-second), 15, 51, 10141
Result (x y micro-second), 28, 36, 9360
Result (x y micro-second), 9, 44, 10399
Result (x y micro-second), 6, 21, 10003
Result (x y micro-second), 5, 2, 16776
Result (x y micro-second), 24, 40, 9464
Result (x y micro-second), 47, 13, 9211
Result (x y micro-second), 3, 61, 11562
Result (x y micro-second), 24, 25, 9315
Result (x y micro-second), 45, 20, 9347
Result (x y micro-second), 14, 56, 10061
Result (x y micro-second), 2, 23, 14407
Result (x y micro-second), 52, 16, 9304
Result (x y micro-second), 9, 15, 9758
Result (x y micro-second), 51, 17, 9346
Result (x y micro-second), 38, 2, 9319
Result (x y micro-second), 3, 18, 11951
Result (x y micro-second), 1, 64, 17040
Result (x y micro-second), 13, 3, 10601
Result (x y micro-second), 8, 8, 9860
Result (x y micro-second), 24, 27, 9241
Result (x y micro-second), 34, 20, 9693
Result (x y micro-second), 1, 7, 24649
Result (x y micro-second), 12, 2, 11708
Result (x y micro-second), 22, 13, 9350
Result (x y micro-second), 1, 34, 25152
Result (x y micro-second), 15, 60, 9816
Result (x y micro-second), 6, 42, 10076
Result (x y micro-second), 18, 2, 10629
Result (x y micro-second), 53, 16, 9301
Result (x y micro-second), 15, 22, 9635
Result (x y micro-second), 2, 15, 14053
Result (x y micro-second), 29, 22, 9292
