Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy HtoD [sync]",99381299,3470208,,,,,,,,,,8327276,2399647513
"Memcpy HtoD [sync]",103425651,554880,,,,,,,,,,2078756,3746316320
"matrixMulKernel(matrix, matrix, matrix)",104742963,31573120,11,186,1,49,11,1,21,0,0,,
"Memcpy DtoH [sync]",136356563,2616864,,,,,,,,,,4151404,1586404184
"Memcpy HtoD [sync]",141285151,2836218,,,,,,,,,,8327276,2936049344
"Memcpy HtoD [sync]",144628195,553068,,,,,,,,,,2078756,3758590263
"matrixMulKernel(matrix, matrix, matrix)",145202543,31129433,18,510,1,29,4,1,21,0,0,,
"Memcpy DtoH [sync]",176364168,1399613,,,,,,,,,,4151404,2966108488
"Memcpy HtoD [sync]",179368901,2761689,,,,,,,,,,8327276,3015283762
"Memcpy HtoD [sync]",182646920,575500,,,,,,,,,,2078756,3612086880
"matrixMulKernel(matrix, matrix, matrix)",183246804,30823923,19,157,1,27,13,1,21,0,0,,
"Memcpy DtoH [sync]",214103239,1395229,,,,,,,,,,4151404,2975428406
"Memcpy HtoD [sync]",217103172,2783929,,,,,,,,,,8327276,2991195536
"Memcpy HtoD [sync]",220388935,553611,,,,,,,,,,2078756,3754903713
"matrixMulKernel(matrix, matrix, matrix)",220981235,32414163,13,89,1,41,23,1,21,0,0,,
"Memcpy DtoH [sync]",253426150,1402813,,,,,,,,,,4151404,2959342407
"Memcpy HtoD [sync]",256457476,2792281,,,,,,,,,,8327276,2982248563
"Memcpy HtoD [sync]",259753895,550027,,,,,,,,,,2078756,3779370830
"matrixMulKernel(matrix, matrix, matrix)",260327379,98080425,170,89,1,3,23,1,21,0,0,,
"Memcpy DtoH [sync]",358443069,1410396,,,,,,,,,,4151404,2943431490
"Memcpy HtoD [sync]",361478587,2821465,,,,,,,,,,8327276,2951401488
"Memcpy HtoD [sync]",364803166,551883,,,,,,,,,,2078756,3766660687
"matrixMulKernel(matrix, matrix, matrix)",365378762,33386118,11,510,1,50,4,1,21,0,0,,
"Memcpy DtoH [sync]",398803505,1394684,,,,,,,,,,4151404,2976591113
"Memcpy HtoD [sync]",401804654,2796409,,,,,,,,,,8327276,2977846230
"Memcpy HtoD [sync]",405111761,550667,,,,,,,,,,2078756,3774978344
"matrixMulKernel(matrix, matrix, matrix)",405694173,62423125,102,36,1,5,57,1,21,0,0,,
"Memcpy DtoH [sync]",468149618,1396061,,,,,,,,,,4151404,2973655162
"Memcpy HtoD [sync]",471157104,2756952,,,,,,,,,,8327276,3020464629
"Memcpy HtoD [sync]",474430994,573900,,,,,,,,,,2078756,3622157170
"matrixMulKernel(matrix, matrix, matrix)",475029662,50271518,73,53,1,7,39,1,21,0,0,,
"Memcpy DtoH [sync]",525334173,1395836,,,,,,,,,,4151404,2974134497
"Memcpy HtoD [sync]",528349786,2792729,,,,,,,,,,8327276,2981770161
"Memcpy HtoD [sync]",531647389,550923,,,,,,,,,,2078756,3773224207
"matrixMulKernel(matrix, matrix, matrix)",532223049,49891190,73,59,1,7,35,1,21,0,0,,
"Memcpy DtoH [sync]",582146303,1398013,,,,,,,,,,4151404,2969503144
"Memcpy HtoD [sync]",585140476,2785529,,,,,,,,,,8327276,2989477402
"Memcpy HtoD [sync]",588444799,552780,,,,,,,,,,2078756,3760548500
"matrixMulKernel(matrix, matrix, matrix)",589022539,32962238,10,128,1,55,16,1,21,0,0,,
"Memcpy DtoH [sync]",622017706,1395100,,,,,,,,,,4151404,2975703533
"Memcpy HtoD [sync]",625028199,2785400,,,,,,,,,,8327276,2989615854
"Memcpy HtoD [sync]",628315306,551403,,,,,,,,,,2078756,3769939590
"matrixMulKernel(matrix, matrix, matrix)",628890805,40331988,47,82,1,11,25,1,21,0,0,,
"Memcpy DtoH [sync]",669254986,1398588,,,,,,,,,,4151404,2968282296
"Memcpy HtoD [sync]",672271847,2785113,,,,,,,,,,8327276,2989923927
"Memcpy HtoD [sync]",675563050,552235,,,,,,,,,,2078756,3764259780
"matrixMulKernel(matrix, matrix, matrix)",676142550,36725514,43,408,1,12,5,1,21,0,0,,
"Memcpy DtoH [sync]",712900865,1397724,,,,,,,,,,4151404,2970117133
