dimension, 2039, 2039
Result (x y micro-second), 19, 26, 160123
Result (x y micro-second), 28, 13, 9154
Result (x y micro-second), 17, 11, 9213
Result (x y micro-second), 15, 38, 9433
Result (x y micro-second), 16, 15, 8944
Result (x y micro-second), 16, 30, 9125
Result (x y micro-second), 14, 54, 9807
Result (x y micro-second), 46, 8, 8984
Result (x y micro-second), 4, 5, 13221
Result (x y micro-second), 5, 27, 10138
Result (x y micro-second), 4, 60, 10442
Result (x y micro-second), 21, 18, 9052
Result (x y micro-second), 29, 31, 9190
Result (x y micro-second), 4, 43, 10562
Result (x y micro-second), 5, 63, 10290
Result (x y micro-second), 13, 12, 9139
Result (x y micro-second), 49, 5, 8850
Result (x y micro-second), 11, 63, 10324
Result (x y micro-second), 61, 1, 9304
Result (x y micro-second), 43, 2, 8960
Result (x y micro-second), 4, 17, 10494
Result (x y micro-second), 4, 57, 10437
Result (x y micro-second), 41, 8, 9289
Result (x y micro-second), 27, 4, 8892
Result (x y micro-second), 49, 11, 9111
Result (x y micro-second), 8, 59, 9673
Result (x y micro-second), 9, 2, 12770
Result (x y micro-second), 49, 6, 8946
Result (x y micro-second), 6, 19, 9827
Result (x y micro-second), 49, 3, 9400
Result (x y micro-second), 17, 43, 10081
Result (x y micro-second), 30, 12, 9051
Result (x y micro-second), 34, 14, 9086
Result (x y micro-second), 22, 42, 9227
Result (x y micro-second), 8, 31, 9394
Result (x y micro-second), 36, 18, 8914
Result (x y micro-second), 36, 18, 9067
Result (x y micro-second), 9, 36, 9792
Result (x y micro-second), 11, 13, 9274
Result (x y micro-second), 37, 27, 9097
Result (x y micro-second), 55, 13, 9389
Result (x y micro-second), 20, 40, 9358
Result (x y micro-second), 51, 13, 8893
Result (x y micro-second), 62, 9, 9019
Result (x y micro-second), 54, 5, 8877
Result (x y micro-second), 61, 10, 9053
Result (x y micro-second), 42, 7, 8933
Result (x y micro-second), 25, 33, 9267
Result (x y micro-second), 19, 44, 9430
Result (x y micro-second), 8, 62, 9580
Result (x y micro-second), 11, 25, 9481
Result (x y micro-second), 3, 64, 11208
Result (x y micro-second), 32, 26, 9103
Result (x y micro-second), 50, 17, 9063
Result (x y micro-second), 32, 29, 9041
Result (x y micro-second), 24, 19, 9008
Result (x y micro-second), 17, 35, 9270
Result (x y micro-second), 3, 18, 11685
Result (x y micro-second), 21, 11, 9035
Result (x y micro-second), 15, 49, 10014
Result (x y micro-second), 5, 25, 10140
Result (x y micro-second), 9, 7, 9596
Result (x y micro-second), 25, 38, 9204
Result (x y micro-second), 8, 56, 9652
Result (x y micro-second), 4, 44, 10576
Result (x y micro-second), 8, 58, 9692
Result (x y micro-second), 54, 1, 9440
Result (x y micro-second), 50, 6, 8843
Result (x y micro-second), 2, 4, 20143
Result (x y micro-second), 48, 16, 9432
Result (x y micro-second), 58, 1, 9647
Result (x y micro-second), 8, 63, 9598
Result (x y micro-second), 24, 11, 9001
Result (x y micro-second), 40, 21, 9131
Result (x y micro-second), 20, 23, 9197
Result (x y micro-second), 37, 13, 8962
Result (x y micro-second), 30, 13, 9258
Result (x y micro-second), 8, 23, 9387
Result (x y micro-second), 13, 41, 9818
Result (x y micro-second), 63, 4, 8869
Result (x y micro-second), 9, 6, 9804
Result (x y micro-second), 2, 32, 12500
Result (x y micro-second), 16, 43, 9622
Result (x y micro-second), 28, 11, 8943
Result (x y micro-second), 31, 14, 9163
Result (x y micro-second), 46, 7, 9067
Result (x y micro-second), 34, 2, 9235
Result (x y micro-second), 29, 28, 9263
Result (x y micro-second), 6, 58, 10190
Result (x y micro-second), 2, 35, 12441
Result (x y micro-second), 6, 9, 10276
Result (x y micro-second), 25, 12, 9022
Result (x y micro-second), 1, 49, 19693
Result (x y micro-second), 8, 28, 9346
Result (x y micro-second), 45, 11, 8960
Result (x y micro-second), 41, 9, 9010
Result (x y micro-second), 13, 62, 9652
Result (x y micro-second), 7, 6, 10568
Result (x y micro-second), 15, 56, 9577
Result (x y micro-second), 57, 9, 9083
Result (x y micro-second), 3, 57, 11577
Result (x y micro-second), 57, 10, 8998
Result (x y micro-second), 27, 28, 9430
Result (x y micro-second), 7, 3, 12278
Result (x y micro-second), 1, 33, 25680
Result (x y micro-second), 41, 4, 8890
Result (x y micro-second), 39, 14, 9142
Result (x y micro-second), 27, 32, 9354
Result (x y micro-second), 22, 29, 9096
Result (x y micro-second), 24, 15, 9045
Result (x y micro-second), 1, 22, 18819
Result (x y micro-second), 30, 21, 9111
Result (x y micro-second), 27, 30, 9323
Result (x y micro-second), 22, 20, 9165
Result (x y micro-second), 21, 11, 9025
Result (x y micro-second), 15, 22, 9397
Result (x y micro-second), 23, 44, 9240
Result (x y micro-second), 6, 61, 9951
Result (x y micro-second), 23, 7, 9048
Result (x y micro-second), 33, 4, 8910
Result (x y micro-second), 24, 8, 8901
Result (x y micro-second), 28, 13, 8963
Result (x y micro-second), 33, 13, 9152
Result (x y micro-second), 9, 10, 9435
Result (x y micro-second), 62, 16, 9092
Result (x y micro-second), 35, 18, 9033
Result (x y micro-second), 8, 57, 9722
Result (x y micro-second), 61, 13, 9079
Result (x y micro-second), 19, 8, 8988
Result (x y micro-second), 18, 52, 9379
Result (x y micro-second), 11, 63, 10304
Result (x y micro-second), 6, 12, 9948
Result (x y micro-second), 61, 15, 9077
Result (x y micro-second), 11, 56, 9550
Result (x y micro-second), 39, 20, 9244
Result (x y micro-second), 1, 21, 18793
Result (x y micro-second), 15, 43, 9302
Result (x y micro-second), 22, 11, 8968
Result (x y micro-second), 56, 11, 8939
Result (x y micro-second), 30, 10, 9093
Result (x y micro-second), 18, 47, 9671
Result (x y micro-second), 14, 44, 9339
Result (x y micro-second), 52, 9, 8986
Result (x y micro-second), 42, 24, 9063
Result (x y micro-second), 2, 59, 12419
Result (x y micro-second), 3, 57, 11578
Result (x y micro-second), 6, 32, 9878
Result (x y micro-second), 3, 23, 11290
Result (x y micro-second), 14, 63, 9576
Result (x y micro-second), 27, 27, 9754
Result (x y micro-second), 25, 20, 9474
Result (x y micro-second), 21, 5, 8967
Result (x y micro-second), 62, 15, 9094
Result (x y micro-second), 9, 19, 9444
Result (x y micro-second), 56, 14, 9080
Result (x y micro-second), 6, 34, 9846
Result (x y micro-second), 8, 32, 9476
Result (x y micro-second), 51, 16, 9052
Result (x y micro-second), 49, 20, 9108
Result (x y micro-second), 11, 26, 9280
Result (x y micro-second), 44, 8, 9013
Result (x y micro-second), 7, 49, 10024
Result (x y micro-second), 14, 62, 9540
Result (x y micro-second), 22, 24, 9311
Result (x y micro-second), 28, 17, 9119
Result (x y micro-second), 56, 14, 9139
Result (x y micro-second), 33, 27, 9186
Result (x y micro-second), 51, 17, 9119
Result (x y micro-second), 5, 18, 10170
Result (x y micro-second), 21, 11, 8989
Result (x y micro-second), 2, 35, 12455
Result (x y micro-second), 8, 64, 9521
Result (x y micro-second), 33, 30, 9110
Result (x y micro-second), 17, 60, 9424
Result (x y micro-second), 21, 38, 9579
Result (x y micro-second), 19, 49, 9304
Result (x y micro-second), 55, 10, 9076
Result (x y micro-second), 39, 18, 9478
Result (x y micro-second), 45, 17, 9255
Result (x y micro-second), 34, 2, 9312
Result (x y micro-second), 35, 2, 9264
Result (x y micro-second), 63, 4, 8757
Result (x y micro-second), 32, 11, 8885
Result (x y micro-second), 13, 8, 9168
Result (x y micro-second), 24, 32, 9267
Result (x y micro-second), 2, 34, 12381
Result (x y micro-second), 3, 32, 11206
Result (x y micro-second), 11, 30, 9589
Result (x y micro-second), 15, 46, 10096
Result (x y micro-second), 14, 36, 9217
Result (x y micro-second), 10, 15, 9369
Result (x y micro-second), 7, 23, 9947
Result (x y micro-second), 15, 45, 10092
Result (x y micro-second), 26, 4, 8950
Result (x y micro-second), 3, 59, 11488
Result (x y micro-second), 31, 6, 8900
Result (x y micro-second), 12, 58, 10234
Result (x y micro-second), 7, 36, 9685
Result (x y micro-second), 31, 11, 9100
Result (x y micro-second), 9, 58, 10185
Result (x y micro-second), 2, 47, 12469
Result (x y micro-second), 31, 28, 9177
Result (x y micro-second), 11, 51, 9731
Result (x y micro-second), 44, 11, 8977
Result (x y micro-second), 13, 50, 9402
Result (x y micro-second), 46, 8, 8923
Result (x y micro-second), 14, 13, 9133
Result (x y micro-second), 18, 22, 9557
Result (x y micro-second), 6, 19, 9842
Result (x y micro-second), 4, 57, 10389
Result (x y micro-second), 37, 5, 8885
Result (x y micro-second), 40, 11, 9039
Result (x y micro-second), 11, 26, 9337
Result (x y micro-second), 14, 6, 9190
Result (x y micro-second), 45, 16, 9291
Result (x y micro-second), 7, 57, 10413
Result (x y micro-second), 1, 52, 19089
Result (x y micro-second), 64, 14, 8888
Result (x y micro-second), 35, 6, 8919
Result (x y micro-second), 26, 35, 9203
Result (x y micro-second), 22, 2, 9953
Result (x y micro-second), 45, 16, 9259
Result (x y micro-second), 34, 13, 9115
Result (x y micro-second), 50, 14, 9393
Result (x y micro-second), 6, 28, 10066
Result (x y micro-second), 44, 6, 8902
Result (x y micro-second), 23, 12, 9010
Result (x y micro-second), 11, 11, 9233
Result (x y micro-second), 16, 32, 9031
Result (x y micro-second), 12, 60, 10135
Result (x y micro-second), 9, 27, 9588
Result (x y micro-second), 14, 43, 9357
Result (x y micro-second), 56, 2, 8828
Result (x y micro-second), 29, 34, 9133
Result (x y micro-second), 3, 6, 14048
Result (x y micro-second), 12, 25, 9279
Result (x y micro-second), 18, 3, 9648
Result (x y micro-second), 13, 56, 10091
Result (x y micro-second), 5, 37, 10314
Result (x y micro-second), 1, 14, 19628
Result (x y micro-second), 63, 14, 9096
Result (x y micro-second), 12, 47, 9563
Result (x y micro-second), 38, 2, 9118
Result (x y micro-second), 44, 3, 8904
Result (x y micro-second), 8, 47, 9586
Result (x y micro-second), 6, 25, 9835
Result (x y micro-second), 42, 24, 9074
Result (x y micro-second), 27, 18, 9013
Result (x y micro-second), 9, 46, 10137
Result (x y micro-second), 23, 4, 8953
Result (x y micro-second), 32, 23, 9072
Result (x y micro-second), 17, 30, 9109
