dimension, 4093, 1021
Result (x y micro-second), 23, 19, 239748
Result (x y micro-second), 34, 17, 21649
Result (x y micro-second), 32, 18, 21486
Result (x y micro-second), 48, 15, 21533
Result (x y micro-second), 2, 7, 23244
Result (x y micro-second), 20, 27, 21573
Result (x y micro-second), 6, 41, 21656
Result (x y micro-second), 9, 27, 21547
Result (x y micro-second), 1, 4, 27474
Result (x y micro-second), 2, 24, 23271
Result (x y micro-second), 6, 22, 22242
Result (x y micro-second), 57, 7, 21492
Result (x y micro-second), 1, 22, 23808
Result (x y micro-second), 47, 15, 21579
Result (x y micro-second), 16, 52, 21567
Result (x y micro-second), 56, 12, 21489
Result (x y micro-second), 14, 64, 21579
Result (x y micro-second), 41, 24, 21561
Result (x y micro-second), 14, 15, 21525
Result (x y micro-second), 2, 19, 23186
Result (x y micro-second), 35, 26, 21514
Result (x y micro-second), 20, 31, 21494
Result (x y micro-second), 15, 2, 21946
Result (x y micro-second), 41, 2, 21528
Result (x y micro-second), 36, 14, 21470
Result (x y micro-second), 60, 4, 21456
Result (x y micro-second), 24, 10, 21549
Result (x y micro-second), 47, 1, 21650
Result (x y micro-second), 15, 35, 21547
Result (x y micro-second), 14, 50, 21731
Result (x y micro-second), 64, 3, 21450
Result (x y micro-second), 30, 14, 21503
Result (x y micro-second), 5, 10, 21877
Result (x y micro-second), 46, 20, 21552
Result (x y micro-second), 59, 17, 21535
Result (x y micro-second), 20, 20, 21525
Result (x y micro-second), 30, 30, 21570
Result (x y micro-second), 13, 26, 21580
Result (x y micro-second), 61, 12, 21509
Result (x y micro-second), 28, 26, 21616
Result (x y micro-second), 25, 32, 21578
Result (x y micro-second), 35, 3, 21453
Result (x y micro-second), 25, 16, 21517
Result (x y micro-second), 22, 19, 21479
Result (x y micro-second), 8, 52, 21576
Result (x y micro-second), 10, 55, 21637
Result (x y micro-second), 20, 10, 21518
Result (x y micro-second), 3, 6, 22755
Result (x y micro-second), 18, 45, 24092
Result (x y micro-second), 3, 30, 22097
Result (x y micro-second), 6, 63, 21705
Result (x y micro-second), 24, 1, 22088
Result (x y micro-second), 1, 58, 23859
Result (x y micro-second), 4, 25, 21821
Result (x y micro-second), 10, 25, 21619
Result (x y micro-second), 15, 50, 21672
Result (x y micro-second), 28, 25, 21547
Result (x y micro-second), 3, 36, 22047
Result (x y micro-second), 39, 5, 21463
Result (x y micro-second), 57, 2, 21454
Result (x y micro-second), 47, 2, 21502
Result (x y micro-second), 26, 25, 21470
Result (x y micro-second), 10, 6, 21622
Result (x y micro-second), 1, 50, 24309
Result (x y micro-second), 44, 2, 21487
Result (x y micro-second), 34, 18, 21487
Result (x y micro-second), 7, 10, 21671
Result (x y micro-second), 10, 55, 21599
Result (x y micro-second), 28, 3, 21585
Result (x y micro-second), 27, 26, 21594
Result (x y micro-second), 25, 20, 21470
Result (x y micro-second), 27, 7, 21542
Result (x y micro-second), 5, 29, 21758
Result (x y micro-second), 25, 4, 21478
Result (x y micro-second), 27, 5, 21513
Result (x y micro-second), 5, 61, 21784
Result (x y micro-second), 22, 11, 21556
Result (x y micro-second), 6, 31, 21827
Result (x y micro-second), 2, 58, 22393
Result (x y micro-second), 21, 25, 21514
Result (x y micro-second), 50, 8, 21492
Result (x y micro-second), 3, 13, 22543
Result (x y micro-second), 14, 23, 21553
Result (x y micro-second), 1, 44, 24674
Result (x y micro-second), 22, 29, 21489
Result (x y micro-second), 19, 26, 21495
Result (x y micro-second), 29, 19, 21542
Result (x y micro-second), 15, 5, 21592
Result (x y micro-second), 44, 21, 21522
Result (x y micro-second), 14, 32, 21488
Result (x y micro-second), 26, 34, 21583
Result (x y micro-second), 56, 9, 21498
Result (x y micro-second), 17, 42, 21617
Result (x y micro-second), 16, 19, 21485
Result (x y micro-second), 8, 63, 21549
Result (x y micro-second), 18, 26, 21478
Result (x y micro-second), 24, 10, 21795
Result (x y micro-second), 5, 52, 21937
Result (x y micro-second), 20, 43, 21635
Result (x y micro-second), 43, 12, 21571
Result (x y micro-second), 59, 4, 21632
Result (x y micro-second), 12, 62, 21744
Result (x y micro-second), 28, 27, 21628
Result (x y micro-second), 16, 17, 21545
Result (x y micro-second), 6, 62, 21747
Result (x y micro-second), 24, 14, 21549
Result (x y micro-second), 32, 28, 21628
Result (x y micro-second), 1, 59, 23820
Result (x y micro-second), 16, 21, 21539
Result (x y micro-second), 37, 8, 21584
Result (x y micro-second), 19, 35, 21554
Result (x y micro-second), 1, 27, 23692
Result (x y micro-second), 15, 13, 21601
Result (x y micro-second), 24, 42, 21703
Result (x y micro-second), 27, 22, 21546
Result (x y micro-second), 14, 36, 21575
Result (x y micro-second), 36, 11, 21551
Result (x y micro-second), 54, 6, 21541
Result (x y micro-second), 8, 35, 21659
Result (x y micro-second), 34, 8, 21505
Result (x y micro-second), 20, 20, 21613
Result (x y micro-second), 24, 26, 21570
Result (x y micro-second), 18, 50, 21646
Result (x y micro-second), 36, 18, 21557
Result (x y micro-second), 54, 8, 21537
Result (x y micro-second), 13, 45, 21636
Result (x y micro-second), 55, 16, 21617
Result (x y micro-second), 6, 47, 21763
Result (x y micro-second), 6, 25, 21748
Result (x y micro-second), 2, 32, 22468
Result (x y micro-second), 21, 4, 21607
Result (x y micro-second), 28, 4, 21513
Result (x y micro-second), 21, 4, 21641
Result (x y micro-second), 47, 10, 21668
Result (x y micro-second), 11, 59, 21626
Result (x y micro-second), 8, 21, 21617
Result (x y micro-second), 24, 27, 21526
Result (x y micro-second), 17, 10, 21602
Result (x y micro-second), 4, 37, 21834
Result (x y micro-second), 13, 31, 21629
Result (x y micro-second), 58, 11, 21590
Result (x y micro-second), 6, 4, 22294
Result (x y micro-second), 5, 60, 21844
