Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy HtoD [sync]",98144711,1553728,,,,,,,,,,4169764,2683715553
"Memcpy HtoD [sync]",100128103,1395680,,,,,,,,,,4169764,2987621804
"matrixMulKernel(matrix, matrix, matrix)",102324839,570402528,341,1021,1,3,1,1,21,0,0,,
"Memcpy DtoH [sync]",672791207,2592960,,,,,,,,,,4169764,1608109650
"Memcpy HtoD [sync]",677716709,1297988,,,,,,,,,,4169764,3212482704
"Memcpy HtoD [sync]",679408714,1333253,,,,,,,,,,4169764,3127511432
"matrixMulKernel(matrix, matrix, matrix)",680809839,41132358,103,18,1,10,57,1,21,0,0,,
"Memcpy DtoH [sync]",721977141,1403749,,,,,,,,,,4169764,2970448420
"Memcpy HtoD [sync]",725019455,1260932,,,,,,,,,,4169764,3306890458
"Memcpy HtoD [sync]",726666820,1298981,,,,,,,,,,4169764,3210026936
"matrixMulKernel(matrix, matrix, matrix)",728031657,27877755,64,128,1,16,8,1,21,0,0,,
"Memcpy DtoH [sync]",755956612,1395332,,,,,,,,,,4169764,2988366926
"Memcpy HtoD [sync]",759022702,1381700,,,,,,,,,,4169764,3017850474
"Memcpy HtoD [sync]",760837396,1319332,,,,,,,,,,4169764,3160511531
"matrixMulKernel(matrix, matrix, matrix)",762251832,31988008,28,79,1,37,13,1,21,0,0,,
"Memcpy DtoH [sync]",794276737,1388836,,,,,,,,,,4169764,3002344409
"Memcpy HtoD [sync]",797291466,1255493,,,,,,,,,,4169764,3321216446
"Memcpy HtoD [sync]",798934864,1296388,,,,,,,,,,4169764,3216447545
"matrixMulKernel(matrix, matrix, matrix)",800345460,129768519,511,28,1,2,37,1,21,0,0,,
"Memcpy DtoH [sync]",930157019,1398405,,,,,,,,,,4169764,2981799979
"Memcpy HtoD [sync]",933228293,1265764,,,,,,,,,,4169764,3294266545
"Memcpy HtoD [sync]",934879275,1298244,,,,,,,,,,4169764,3211849236
"matrixMulKernel(matrix, matrix, matrix)",936261903,32555722,33,38,1,31,27,1,21,0,0,,
"Memcpy DtoH [sync]",968859385,1395301,,,,,,,,,,4169764,2988433320
"Memcpy HtoD [sync]",971908963,1294341,,,,,,,,,,4169764,3221534356
"Memcpy HtoD [sync]",973590281,1296580,,,,,,,,,,4169764,3215971247
"matrixMulKernel(matrix, matrix, matrix)",974948461,33760654,57,19,1,18,54,1,21,0,0,,
"Memcpy DtoH [sync]",1008743323,1390181,,,,,,,,,,4169764,2999439641
"Memcpy HtoD [sync]",1011743461,1278500,,,,,,,,,,4169764,3261450136
"Memcpy HtoD [sync]",1013406027,1296612,,,,,,,,,,4169764,3215891878
"matrixMulKernel(matrix, matrix, matrix)",1014762639,30930149,37,64,1,28,16,1,21,0,0,,
"Memcpy DtoH [sync]",1045731316,1389956,,,,,,,,,,4169764,2999925177
"Memcpy HtoD [sync]",1048905790,1298660,,,,,,,,,,4169764,3210820384
