dimension, 4093, 1021
Result (x y micro-second), 46, 22, 224358
Result (x y micro-second), 41, 7, 9029
Result (x y micro-second), 25, 8, 9135
Result (x y micro-second), 34, 6, 9286
Result (x y micro-second), 18, 24, 9499
Result (x y micro-second), 22, 43, 9464
Result (x y micro-second), 25, 24, 9285
Result (x y micro-second), 21, 7, 9115
Result (x y micro-second), 11, 61, 9740
Result (x y micro-second), 18, 21, 9405
Result (x y micro-second), 29, 20, 9264
Result (x y micro-second), 32, 7, 8900
Result (x y micro-second), 54, 12, 9195
Result (x y micro-second), 50, 7, 9303
Result (x y micro-second), 35, 7, 9062
Result (x y micro-second), 30, 21, 9195
Result (x y micro-second), 27, 19, 9508
Result (x y micro-second), 24, 37, 9356
Result (x y micro-second), 15, 4, 9696
Result (x y micro-second), 29, 32, 9395
Result (x y micro-second), 24, 26, 9366
Result (x y micro-second), 9, 52, 9964
Result (x y micro-second), 11, 25, 9505
Result (x y micro-second), 32, 18, 9110
Result (x y micro-second), 2, 16, 14030
Result (x y micro-second), 12, 31, 9551
Result (x y micro-second), 16, 62, 9439
Result (x y micro-second), 35, 9, 9101
Result (x y micro-second), 40, 1, 10238
Result (x y micro-second), 53, 5, 9118
Result (x y micro-second), 19, 45, 9592
Result (x y micro-second), 19, 2, 10436
Result (x y micro-second), 19, 41, 9696
Result (x y micro-second), 1, 30, 18556
Result (x y micro-second), 7, 37, 9955
Result (x y micro-second), 6, 22, 10085
Result (x y micro-second), 34, 1, 10698
Result (x y micro-second), 60, 4, 9072
Result (x y micro-second), 9, 37, 10022
Result (x y micro-second), 2, 49, 12554
Result (x y micro-second), 38, 26, 9343
Result (x y micro-second), 32, 26, 9191
Result (x y micro-second), 8, 64, 9758
Result (x y micro-second), 45, 2, 9138
Result (x y micro-second), 27, 20, 9367
Result (x y micro-second), 10, 3, 11212
Result (x y micro-second), 24, 15, 9273
Result (x y micro-second), 15, 20, 9399
Result (x y micro-second), 8, 30, 9585
Result (x y micro-second), 23, 39, 9433
Result (x y micro-second), 52, 13, 9641
Result (x y micro-second), 23, 32, 9716
Result (x y micro-second), 14, 49, 10292
Result (x y micro-second), 51, 1, 9774
Result (x y micro-second), 50, 11, 9296
Result (x y micro-second), 52, 10, 9353
Result (x y micro-second), 3, 3, 18359
Result (x y micro-second), 26, 21, 9363
Result (x y micro-second), 50, 19, 9360
Result (x y micro-second), 7, 40, 9870
Result (x y micro-second), 7, 36, 9909
Result (x y micro-second), 43, 11, 9198
Result (x y micro-second), 61, 7, 9210
Result (x y micro-second), 34, 16, 9345
Result (x y micro-second), 27, 22, 9287
Result (x y micro-second), 10, 33, 9953
Result (x y micro-second), 62, 16, 9230
Result (x y micro-second), 4, 34, 10512
Result (x y micro-second), 9, 51, 10036
Result (x y micro-second), 29, 33, 9332
Result (x y micro-second), 48, 7, 9130
Result (x y micro-second), 14, 36, 9397
Result (x y micro-second), 14, 21, 9406
Result (x y micro-second), 24, 1, 11467
Result (x y micro-second), 17, 57, 9554
