dimension, 2039, 2039
Result (x y micro-second), 18, 17, 97812
Result (x y micro-second), 1, 9, 21514
Result (x y micro-second), 16, 24, 9113
Result (x y micro-second), 12, 57, 10274
Result (x y micro-second), 10, 20, 9492
Result (x y micro-second), 28, 32, 9456
Result (x y micro-second), 19, 38, 9946
Result (x y micro-second), 5, 51, 10312
Result (x y micro-second), 7, 57, 10506
Result (x y micro-second), 40, 24, 9287
Result (x y micro-second), 9, 41, 9744
Result (x y micro-second), 32, 24, 9162
Result (x y micro-second), 17, 34, 9526
Result (x y micro-second), 24, 26, 9225
Result (x y micro-second), 56, 17, 9241
Result (x y micro-second), 41, 9, 9098
Result (x y micro-second), 55, 4, 9094
Result (x y micro-second), 40, 9, 9027
Result (x y micro-second), 7, 44, 9912
Result (x y micro-second), 11, 39, 9866
Result (x y micro-second), 4, 10, 11847
Result (x y micro-second), 17, 20, 9474
Result (x y micro-second), 13, 3, 10289
Result (x y micro-second), 4, 4, 13720
Result (x y micro-second), 55, 18, 9368
Result (x y micro-second), 26, 24, 9240
Result (x y micro-second), 35, 1, 10217
Result (x y micro-second), 33, 11, 9145
Result (x y micro-second), 58, 15, 9383
Result (x y micro-second), 61, 1, 9321
Result (x y micro-second), 59, 7, 9148
Result (x y micro-second), 16, 55, 9606
Result (x y micro-second), 17, 59, 9543
Result (x y micro-second), 34, 29, 9478
Result (x y micro-second), 32, 15, 8911
Result (x y micro-second), 36, 22, 9327
Result (x y micro-second), 33, 5, 9044
Result (x y micro-second), 29, 23, 9163
Result (x y micro-second), 23, 27, 9365
Result (x y micro-second), 26, 1, 11033
Result (x y micro-second), 36, 24, 9483
Result (x y micro-second), 24, 32, 9795
Result (x y micro-second), 13, 14, 9403
Result (x y micro-second), 36, 1, 10167
Result (x y micro-second), 8, 64, 9777
Result (x y micro-second), 23, 2, 9913
Result (x y micro-second), 39, 19, 9408
Result (x y micro-second), 17, 27, 9541
Result (x y micro-second), 9, 63, 10095
Result (x y micro-second), 47, 11, 9320
Result (x y micro-second), 57, 6, 9028
Result (x y micro-second), 20, 9, 9105
Result (x y micro-second), 9, 44, 10256
Result (x y micro-second), 21, 20, 9345
Result (x y micro-second), 5, 38, 10352
Result (x y micro-second), 16, 55, 9621
Result (x y micro-second), 42, 16, 9117
Result (x y micro-second), 28, 25, 9761
Result (x y micro-second), 26, 20, 9433
Result (x y micro-second), 30, 4, 9018
Result (x y micro-second), 9, 26, 9596
Result (x y micro-second), 27, 28, 9767
Result (x y micro-second), 19, 42, 9760
Result (x y micro-second), 43, 10, 9181
Result (x y micro-second), 8, 23, 9605
Result (x y micro-second), 2, 24, 14087
Result (x y micro-second), 41, 17, 9767
Result (x y micro-second), 14, 16, 9477
Result (x y micro-second), 11, 55, 10120
Result (x y micro-second), 15, 57, 9822
Result (x y micro-second), 60, 2, 8871
Result (x y micro-second), 6, 22, 10011
Result (x y micro-second), 20, 48, 9424
Result (x y micro-second), 21, 27, 9444
Result (x y micro-second), 6, 34, 10226
Result (x y micro-second), 42, 17, 9605
Result (x y micro-second), 25, 9, 9121
Result (x y micro-second), 1, 47, 20377
Result (x y micro-second), 17, 13, 9213
Result (x y micro-second), 60, 16, 9272
Result (x y micro-second), 17, 8, 9261
Result (x y micro-second), 39, 1, 9998
Result (x y micro-second), 36, 28, 9394
Result (x y micro-second), 11, 58, 9733
Result (x y micro-second), 18, 47, 9727
Result (x y micro-second), 6, 17, 10011
Result (x y micro-second), 19, 1, 11959
Result (x y micro-second), 52, 8, 9201
Result (x y micro-second), 36, 27, 9389
Result (x y micro-second), 10, 11, 9529
Result (x y micro-second), 11, 35, 10018
Result (x y micro-second), 12, 50, 9700
Result (x y micro-second), 7, 22, 9836
Result (x y micro-second), 15, 61, 9672
Result (x y micro-second), 20, 21, 9449
Result (x y micro-second), 14, 38, 9931
Result (x y micro-second), 21, 46, 9532
Result (x y micro-second), 25, 9, 9190
Result (x y micro-second), 53, 1, 9493
Result (x y micro-second), 34, 24, 9571
Result (x y micro-second), 27, 20, 9468
Result (x y micro-second), 12, 61, 10204
Result (x y micro-second), 7, 54, 9958
Result (x y micro-second), 5, 17, 10294
Result (x y micro-second), 25, 16, 9442
Result (x y micro-second), 3, 31, 11357
Result (x y micro-second), 3, 51, 11347
Result (x y micro-second), 42, 22, 9433
Result (x y micro-second), 7, 55, 10854
Result (x y micro-second), 36, 19, 9923
Result (x y micro-second), 36, 25, 9336
Result (x y micro-second), 19, 5, 9130
Result (x y micro-second), 42, 15, 9125
Result (x y micro-second), 16, 48, 9709
