dimension, 1021, 4093
Result (x y micro-second), 8, 50, 258740
Result (x y micro-second), 13, 5, 21806
Result (x y micro-second), 15, 47, 21752
Result (x y micro-second), 1, 22, 23789
Result (x y micro-second), 13, 10, 21560
Result (x y micro-second), 21, 21, 21621
Result (x y micro-second), 24, 14, 21588
Result (x y micro-second), 30, 24, 21669
Result (x y micro-second), 28, 31, 21657
Result (x y micro-second), 10, 3, 22005
Result (x y micro-second), 5, 53, 21909
Result (x y micro-second), 52, 17, 21598
Result (x y micro-second), 6, 18, 21736
Result (x y micro-second), 48, 6, 21555
Result (x y micro-second), 8, 25, 21611
Result (x y micro-second), 36, 6, 21600
Result (x y micro-second), 14, 6, 21558
Result (x y micro-second), 24, 19, 21566
Result (x y micro-second), 49, 5, 21546
Result (x y micro-second), 2, 8, 23152
Result (x y micro-second), 48, 11, 21550
Result (x y micro-second), 10, 52, 21677
Result (x y micro-second), 5, 61, 21884
Result (x y micro-second), 24, 10, 21518
Result (x y micro-second), 15, 6, 21575
Result (x y micro-second), 4, 62, 21877
Result (x y micro-second), 11, 12, 21600
Result (x y micro-second), 22, 46, 21618
Result (x y micro-second), 17, 35, 21616
Result (x y micro-second), 51, 6, 21616
Result (x y micro-second), 60, 9, 21528
Result (x y micro-second), 17, 45, 21701
Result (x y micro-second), 7, 26, 21699
Result (x y micro-second), 33, 6, 21535
Result (x y micro-second), 23, 37, 21731
Result (x y micro-second), 3, 46, 22125
Result (x y micro-second), 46, 17, 21616
Result (x y micro-second), 14, 61, 21700
Result (x y micro-second), 42, 13, 21571
Result (x y micro-second), 6, 29, 21759
Result (x y micro-second), 18, 40, 21673
Result (x y micro-second), 6, 42, 21749
Result (x y micro-second), 33, 1, 22193
Result (x y micro-second), 61, 3, 21553
Result (x y micro-second), 11, 3, 21983
Result (x y micro-second), 9, 51, 21698
Result (x y micro-second), 15, 11, 21558
Result (x y micro-second), 27, 19, 21602
Result (x y micro-second), 15, 40, 21607
Result (x y micro-second), 11, 57, 21715
Result (x y micro-second), 52, 17, 21614
