Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy DtoH [sync]",3907841620,543506,,,,,,,,,,4169764,7671974182
"Memcpy HtoD [sync]",3909044246,506515,,,,,,,,,,4169764,8232261630
"Memcpy HtoD [sync]",3909661702,522931,,,,,,,,,,4169764,7973832111
"matrixMulKernel(matrix, matrix, matrix)",3910207193,160334654,19,1021,1,54,1,1,21,0,0,,
"Memcpy DtoH [sync]",4070570775,566385,,,,,,,,,,4169764,7362066438
"Memcpy HtoD [sync]",4071837815,523059,,,,,,,,,,4169764,7971880801
"Memcpy HtoD [sync]",4072481767,508147,,,,,,,,,,4169764,8205822330
"matrixMulKernel(matrix, matrix, matrix)",4073006234,144461770,57,79,1,18,13,1,21,0,0,,
"Memcpy DtoH [sync]",4217488228,542066,,,,,,,,,,4169764,7692354805
"Memcpy HtoD [sync]",4218691494,495443,,,,,,,,,,4169764,8416233552
"Memcpy HtoD [sync]",4219295575,499219,,,,,,,,,,4169764,8352574721
"matrixMulKernel(matrix, matrix, matrix)",4219819690,159949128,79,35,1,13,30,1,21,0,0,,
"Memcpy DtoH [sync]",4379789393,543699,,,,,,,,,,4169764,7669250817
"Memcpy HtoD [sync]",4380986035,501428,,,,,,,,,,4169764,8315778137
"Memcpy HtoD [sync]",4381597476,504947,,,,,,,,,,4169764,8257825078
"matrixMulKernel(matrix, matrix, matrix)",4382121207,149902531,47,73,1,22,14,1,21,0,0,,
"Memcpy DtoH [sync]",4532044121,548307,,,,,,,,,,4169764,7604798041
"Memcpy HtoD [sync]",4533237947,495252,,,,,,,,,,4169764,8419479376
"Memcpy HtoD [sync]",4533841804,502964,,,,,,,,,,4169764,8290382611
"matrixMulKernel(matrix, matrix, matrix)",4534359935,132342938,27,103,1,38,10,1,21,0,0,,
"Memcpy DtoH [sync]",4666724248,541554,,,,,,,,,,4169764,7699627368
