dimension, 998, 701
Result (x y micro-second), 16, 4, 2230
Result (x y micro-second), 4, 1, 5157
Result (x y micro-second), 2, 2, 5479
Result (x y micro-second), 2, 2, 5622
Result (x y micro-second), 1, 1, 14552
Result (x y micro-second), 256, 64, 1836
Result (x y micro-second), 512, 1, 2150
Result (x y micro-second), 2, 16, 2836
Result (x y micro-second), 16, 8, 2058
Result (x y micro-second), 32, 256, 1482
Result (x y micro-second), 512, 16, 1545
Result (x y micro-second), 4, 128, 2803
Result (x y micro-second), 128, 1, 2310
Result (x y micro-second), 32, 256, 1543
Result (x y micro-second), 128, 2, 2056
Result (x y micro-second), 32, 8, 2005
Result (x y micro-second), 32, 1, 2326
Result (x y micro-second), 8, 64, 2521
Result (x y micro-second), 8, 64, 2460
Result (x y micro-second), 512, 32, 1736
Result (x y micro-second), 256, 128, 1555
Result (x y micro-second), 2, 128, 2649
Result (x y micro-second), 128, 16, 1459
Result (x y micro-second), 8, 16, 2165
Result (x y micro-second), 512, 2, 2185
Result (x y micro-second), 16, 512, 1714
Result (x y micro-second), 32, 64, 1928
Result (x y micro-second), 256, 4, 2215
Result (x y micro-second), 512, 16, 1494
Result (x y micro-second), 4, 64, 2291
Result (x y micro-second), 32, 1, 2256
Result (x y micro-second), 512, 1, 2062
Result (x y micro-second), 1, 32, 3804
Result (x y micro-second), 256, 8, 1806
Result (x y micro-second), 2, 256, 2766
Result (x y micro-second), 256, 1, 2116
Result (x y micro-second), 128, 2, 2031
Result (x y micro-second), 128, 128, 1491
Result (x y micro-second), 256, 8, 1601
Result (x y micro-second), 2, 128, 2860
Result (x y micro-second), 16, 32, 2347
Result (x y micro-second), 64, 512, 1569
Result (x y micro-second), 16, 32, 2080
Result (x y micro-second), 8, 8, 2141
Result (x y micro-second), 2, 32, 2675
Result (x y micro-second), 2, 64, 3088
Result (x y micro-second), 32, 4, 2306
Result (x y micro-second), 256, 128, 1588
Result (x y micro-second), 128, 256, 1501
Result (x y micro-second), 1, 512, 3366
Result (x y micro-second), 256, 1, 2022
Result (x y micro-second), 2, 64, 2793
Result (x y micro-second), 16, 1, 3249
Result (x y micro-second), 8, 16, 2365
Result (x y micro-second), 8, 64, 2196
Result (x y micro-second), 2, 128, 2629
Result (x y micro-second), 2, 1, 8049
Result (x y micro-second), 256, 128, 1810
Result (x y micro-second), 128, 2, 2006
Result (x y micro-second), 4, 256, 2448
Result (x y micro-second), 128, 8, 2101
Result (x y micro-second), 16, 16, 2156
Result (x y micro-second), 64, 16, 2515
Result (x y micro-second), 4, 32, 2524
Result (x y micro-second), 16, 16, 2088
Result (x y micro-second), 64, 8, 2031
Result (x y micro-second), 128, 128, 1495
Result (x y micro-second), 2, 2, 5476
Result (x y micro-second), 1, 16, 4108
Result (x y micro-second), 32, 8, 2095
Result (x y micro-second), 1, 256, 3393
Result (x y micro-second), 8, 8, 2210
Result (x y micro-second), 256, 2, 2474
Result (x y micro-second), 2, 32, 2943
Result (x y micro-second), 32, 32, 2189
Result (x y micro-second), 8, 16, 2134
Result (x y micro-second), 512, 512, 1468
Result (x y micro-second), 256, 128, 1485
Result (x y micro-second), 32, 4, 2043
Result (x y micro-second), 16, 1, 2878
Result (x y micro-second), 512, 2, 2407
Result (x y micro-second), 32, 64, 1533
Result (x y micro-second), 1, 64, 3445
Result (x y micro-second), 512, 1, 2090
Result (x y micro-second), 4, 64, 2498
Result (x y micro-second), 16, 4, 2500
Result (x y micro-second), 16, 512, 1766
Result (x y micro-second), 128, 32, 1536
Result (x y micro-second), 4, 256, 2413
Result (x y micro-second), 4, 128, 2339
Result (x y micro-second), 64, 64, 1525
Result (x y micro-second), 2, 32, 2894
Result (x y micro-second), 128, 4, 2418
Result (x y micro-second), 16, 32, 2339
Result (x y micro-second), 64, 1, 2140
Result (x y micro-second), 128, 32, 1465
Result (x y micro-second), 2, 4, 3766
Result (x y micro-second), 2, 16, 2974
Result (x y micro-second), 1, 4, 5896
Result (x y micro-second), 16, 4, 2353
Result (x y micro-second), 256, 1, 2101
Result (x y micro-second), 16, 32, 2087
Result (x y micro-second), 512, 8, 1712
Result (x y micro-second), 1, 16, 3990
Result (x y micro-second), 16, 4, 2365
Result (x y micro-second), 2, 1, 8248
Result (x y micro-second), 1, 32, 3918
Result (x y micro-second), 128, 1, 2276
Result (x y micro-second), 512, 2, 2176
Result (x y micro-second), 32, 32, 2074
Result (x y micro-second), 8, 4, 2464
Result (x y micro-second), 8, 32, 2380
Result (x y micro-second), 16, 64, 2452
Result (x y micro-second), 2, 16, 3144
Result (x y micro-second), 512, 32, 1622
Result (x y micro-second), 64, 512, 1577
Result (x y micro-second), 256, 4, 2235
Result (x y micro-second), 16, 512, 1564
Result (x y micro-second), 32, 64, 1775
Result (x y micro-second), 8, 512, 1737
Result (x y micro-second), 512, 128, 1979
Result (x y micro-second), 512, 2, 2260
Result (x y micro-second), 16, 256, 1504
Result (x y micro-second), 2, 8, 3144
Result (x y micro-second), 2, 64, 2654
Result (x y micro-second), 1, 32, 3932
Result (x y micro-second), 256, 32, 1835
Result (x y micro-second), 4, 16, 2444
Result (x y micro-second), 4, 8, 2568
Result (x y micro-second), 1, 2, 8560
Result (x y micro-second), 256, 256, 1824
Result (x y micro-second), 1, 256, 3444
Result (x y micro-second), 4, 128, 2330
Result (x y micro-second), 256, 1, 2102
Result (x y micro-second), 8, 8, 2374
Result (x y micro-second), 512, 16, 1965
Result (x y micro-second), 1, 2, 8736
Result (x y micro-second), 64, 16, 2123
Result (x y micro-second), 2, 512, 2893
Result (x y micro-second), 512, 8, 1942
Result (x y micro-second), 256, 4, 2216
Result (x y micro-second), 256, 256, 1483
Result (x y micro-second), 128, 1, 2078
Result (x y micro-second), 8, 512, 1482
Result (x y micro-second), 8, 32, 2161
Result (x y micro-second), 4, 8, 2591
Result (x y micro-second), 16, 32, 2556
Result (x y micro-second), 4, 64, 2507
Result (x y micro-second), 16, 4, 2190
Result (x y micro-second), 256, 128, 1516
Result (x y micro-second), 32, 1, 2273
Result (x y micro-second), 4, 64, 2393
Result (x y micro-second), 8, 1, 3675
Result (x y micro-second), 4, 16, 2580
Result (x y micro-second), 2, 16, 2923
Result (x y micro-second), 128, 512, 1469
Result (x y micro-second), 256, 32, 1479
Result (x y micro-second), 256, 32, 1503
Result (x y micro-second), 32, 8, 2122
Result (x y micro-second), 128, 256, 1944
Result (x y micro-second), 256, 2, 2385
Result (x y micro-second), 16, 16, 2141
Result (x y micro-second), 256, 64, 1516
Result (x y micro-second), 8, 4, 2287
Result (x y micro-second), 256, 2, 2092
Result (x y micro-second), 1, 32, 3823
Result (x y micro-second), 2, 16, 3201
Result (x y micro-second), 8, 16, 2229
Result (x y micro-second), 64, 64, 1502
Result (x y micro-second), 512, 512, 1498
Result (x y micro-second), 4, 64, 2334
